timesteps,ep_env_score_mean,ep_rm_norm_mean,ep_mixed_reward_mean,ep_cushion_mean,ep_foul_rate,theta_std,abs_offset_mean
4096,0.0000,-0.3161,0.0000,1.1800,0.1000,1.0038,1.6008
8192,0.0000,0.0062,0.0000,1.5900,0.0500,1.0143,1.5897
12288,0.0100,-0.0615,0.0100,1.4600,0.0800,1.0079,1.5769
16384,0.0200,0.4726,0.0200,1.9400,0.0700,0.9999,1.5784
20480,0.0100,0.6059,0.0100,2.2300,0.0800,0.9725,1.5794
24576,0.0100,0.6722,0.0100,2.3400,0.1400,0.9904,1.5909
28672,0.0300,1.0020,0.0300,3.0300,0.0900,0.9882,1.5394
32768,0.0100,1.1120,0.0100,3.0100,0.0800,0.9948,1.5958
36864,0.0100,1.3073,0.0100,3.1700,0.1800,0.9992,1.5868
40960,0.0000,1.4254,0.0000,3.3900,0.1600,1.0283,1.5703
45056,0.0200,1.4803,0.0200,3.5400,0.1800,0.9937,1.5551
49152,0.0300,1.6777,0.0300,3.7800,0.1200,0.9770,1.6012
53248,0.0100,1.7468,0.0100,3.8800,0.1900,0.9834,1.5872
