timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,3.2692,39.0192,0.9914,0.5577,52
4096,5.2273,31.2273,1.1677,0.7121,66
6144,6.2319,29.7681,1.2310,0.7536,69
8192,6.9155,28.3521,1.2298,0.8169,71
10240,7.1096,28.1918,1.2466,0.7671,73
12288,8.0789,27.1974,1.3945,0.8026,76
14336,8.7467,27.3333,1.3512,0.7200,75
16384,8.7662,25.8182,1.4123,0.8182,77
18432,9.3038,26.7342,1.3170,0.7595,79
20480,9.9324,26.8649,1.3340,0.7568,74
22528,9.5570,26.5823,1.3845,0.7595,79
24576,9.8718,25.9359,1.3395,0.8333,78
26624,9.5063,26.2785,1.4010,0.7215,79
28672,9.5789,26.5921,1.2885,0.7763,76
30720,9.5513,26.2051,1.3349,0.7949,78
32768,9.7051,26.5000,1.3704,0.8462,78
34816,9.8421,26.8553,1.3560,0.7895,76
36864,9.8974,26.3846,1.3421,0.8077,78
38912,10.4800,26.4933,1.3554,0.8133,75
40960,10.0886,26.7215,1.3025,0.6709,79
43008,10.4868,27.0263,1.3173,0.6711,76
45056,10.5132,26.8816,1.2747,0.8158,76
47104,10.4675,26.5714,1.2665,0.8571,77
49152,10.8312,26.6494,1.2943,0.8961,77
51200,10.7632,26.5789,1.2991,0.6974,76
53248,10.5641,26.6410,1.2692,0.7051,78
55296,10.2564,26.1923,1.3219,0.7564,78
57344,11.2105,26.9342,1.3579,0.7105,76
59392,10.6234,26.6753,1.3363,0.7662,77
61440,10.4805,26.1558,1.3667,0.7273,77
63488,10.5769,26.7821,1.2733,0.8846,78
65536,10.5325,25.9481,1.2849,0.8052,77
67584,11.0513,26.6538,1.3259,0.7436,78
69632,10.8333,26.4872,1.2937,0.8846,78
71680,11.0658,26.5000,1.2744,0.7632,76
73728,10.9740,26.7532,1.2392,0.7403,77
75776,11.7632,27.1447,1.2418,0.7632,76
77824,11.0390,26.6753,1.3165,0.7532,77
79872,11.3117,26.3636,1.2313,0.7922,77
81920,11.5395,27.1711,1.3483,0.8421,76
83968,11.4079,26.5526,1.2358,0.7763,76
86016,11.5844,26.6753,1.2464,0.7662,77
88064,11.5921,27.2763,1.2965,0.7500,76
90112,11.1429,26.3636,1.2921,0.6104,77
92160,11.5256,26.3205,1.2834,0.7179,78
94208,11.6800,27.4667,1.2031,0.7600,75
96256,10.8442,26.4416,1.2462,0.7532,77
98304,11.8400,27.1600,1.1888,0.7600,75
100352,10.7500,26.4474,1.2339,0.7237,76
102400,11.7792,27.1948,1.2295,0.7532,77
104448,11.4868,27.1842,1.2292,0.7237,76
106496,12.2933,27.1733,1.2867,0.8400,75
108544,11.4342,27.0658,1.1759,0.5921,76
110592,11.9211,26.8158,1.2440,0.6447,76
112640,11.2632,27.0789,1.1902,0.7632,76
114688,12.0135,27.2568,1.3438,0.6351,74
116736,11.4416,26.6234,1.2001,0.7922,77
118784,12.0267,27.2800,1.2602,0.7733,75
120832,11.8158,27.1316,1.1786,0.7500,76
122880,11.9867,26.6933,1.1977,0.8000,75
124928,11.9079,27.6053,1.2964,0.8026,76
126976,10.8571,26.5325,1.2326,0.7532,77
129024,11.7200,27.4800,1.2004,0.7733,75
131072,12.0395,26.9737,1.1729,0.7895,76
133120,12.0135,27.3108,1.2235,0.8108,74
135168,12.2338,26.8312,1.1714,0.7273,77
137216,12.1351,27.5811,1.1288,0.7973,74
139264,11.6711,27.0263,1.2231,0.7105,76
141312,12.2267,26.3467,1.1885,0.6800,75
143360,12.4079,28.0658,1.1333,0.7368,76
145408,11.2078,26.4286,1.2269,0.7143,77
147456,11.5200,27.2667,1.1502,0.7733,75
149504,11.7432,27.2162,1.1817,0.6892,74
150000,13.1765,28.7647,1.2201,0.6471,17
