timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0010,1.0010,1.0112,0.0562,2046
4096,0.0034,1.0034,1.1328,0.0490,2041
6144,0.0039,1.0039,1.2990,0.0618,2040
8192,0.0020,1.0020,1.6627,0.0631,2044
10240,0.0059,1.0059,2.1461,0.0751,2036
12288,0.0064,1.0064,2.6005,0.0894,2035
14336,0.0144,1.0144,3.2515,0.1109,2019
16384,0.0134,1.0134,3.7378,0.0841,2021
18432,0.0194,1.0194,4.0371,0.1055,2009
20480,0.0255,1.0255,4.1436,0.0991,1997
22528,0.0323,1.0323,4.2894,0.0993,1984
24576,0.0375,1.0375,4.2211,0.1424,1974
26624,0.0396,1.0396,4.1873,0.1350,1970
28672,0.0417,1.0417,4.1761,0.1536,1966
30720,0.0391,1.0391,4.1032,0.1639,1971
32768,0.0407,1.0407,4.0965,0.1748,1968
34816,0.0396,1.0396,3.9597,0.1761,1970
36864,0.0380,1.0380,4.1072,0.1419,1973
38912,0.0449,1.0449,4.1325,0.1388,1960
40960,0.0508,1.0508,4.1336,0.1503,1949
43008,0.0417,1.0417,4.2845,0.1368,1966
45056,0.0476,1.0476,4.3589,0.1136,1955
47104,0.0449,1.0449,4.3459,0.1286,1960
49152,0.0385,1.0385,4.2039,0.1364,1972
50176,0.0513,1.0513,4.3054,0.1437,974
