timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.4853,10.0000,1.0976,0.2402,204
4096,0.6078,10.0000,1.1668,0.2304,204
6144,0.5490,10.0000,1.4391,0.2696,204
8192,0.6127,10.0000,1.2040,0.2549,204
10240,0.5962,10.0000,1.0350,0.2548,208
12288,0.5539,10.0000,1.3137,0.2500,204
14336,0.6667,10.0000,1.3003,0.2255,204
16384,0.6716,10.0000,1.2606,0.2304,204
18432,0.6078,10.0000,1.2231,0.2304,204
20480,0.6683,10.0000,1.2235,0.2115,208
22528,0.6373,10.0000,1.1122,0.2451,204
24576,0.6814,10.0000,1.4152,0.2647,204
26624,0.6765,10.0000,1.4607,0.2696,204
28672,0.7255,10.0000,1.3320,0.2402,204
30720,0.7933,10.0000,1.3663,0.2933,208
32768,0.7794,10.0000,1.4564,0.2696,204
34816,0.7402,10.0000,1.4486,0.2794,204
36864,0.7402,10.0000,1.4595,0.3431,204
38912,1.0833,10.0000,1.6877,0.2941,204
40960,1.0337,10.0000,1.8464,0.3029,208
43008,1.2255,10.0000,1.9421,0.2941,204
45056,1.2549,10.0000,2.0416,0.3186,204
47104,1.4902,10.0000,2.1652,0.3235,204
49152,1.4216,10.0000,2.1509,0.3186,204
51200,1.6635,10.0000,2.3258,0.3173,208
53248,1.6667,10.0000,2.4156,0.2990,204
55296,1.8922,10.0000,2.4375,0.3039,204
57344,2.2108,10.0000,2.3133,0.3186,204
59392,2.1814,10.0000,2.4576,0.3480,204
61440,2.4375,10.0000,2.4916,0.3462,208
63488,2.5637,10.0000,2.6529,0.3382,204
65536,2.4608,10.0000,2.2301,0.3088,204
67584,2.6618,10.0000,2.4387,0.3627,204
69632,2.7745,10.0000,2.4683,0.3333,204
71680,2.8077,10.0000,2.6931,0.3221,208
73728,2.7304,10.0000,2.6239,0.3382,204
75776,2.7990,10.0000,2.7129,0.3873,204
77824,2.9902,10.0000,2.6795,0.3676,204
79872,3.0441,10.0000,2.5664,0.3480,204
81920,2.9712,10.0000,2.4391,0.3317,208
83968,3.0000,10.0000,2.4975,0.3235,204
86016,3.1029,10.0000,2.4878,0.3382,204
88064,3.2108,10.0000,2.4200,0.3333,204
90112,3.2990,10.0000,2.3508,0.3529,204
92160,3.4087,10.0000,2.3233,0.3125,208
94208,3.1520,10.0000,2.3712,0.3284,204
96256,3.2059,10.0000,2.3739,0.3578,204
98304,3.4118,10.0000,2.2524,0.3186,204
100352,3.4657,10.0000,2.3478,0.3431,204
102400,3.3894,10.0000,2.5177,0.3510,208
104448,3.4559,10.0000,2.4016,0.3186,204
106496,3.5686,10.0000,2.4183,0.2941,204
108544,3.4216,10.0000,2.3618,0.3284,204
110592,3.6078,10.0000,2.3380,0.3186,204
112640,3.5817,10.0000,2.2604,0.3365,208
114688,3.7108,10.0000,2.1660,0.2990,204
116736,3.5539,10.0000,2.0703,0.3431,204
118784,3.7696,10.0000,2.2190,0.3137,204
120832,3.6078,10.0000,2.0598,0.3725,204
122880,3.7644,10.0000,2.0635,0.3269,208
124928,3.8922,10.0000,2.2516,0.3235,204
126976,3.7892,10.0000,2.1077,0.3186,204
129024,3.7451,10.0000,2.0869,0.3088,204
131072,3.8971,10.0000,2.1076,0.3284,204
133120,3.8798,10.0000,2.1658,0.2740,208
135168,3.8088,10.0000,2.2336,0.2990,204
137216,3.9755,10.0000,2.0878,0.2990,204
139264,3.8284,10.0000,2.0803,0.3382,204
141312,4.1029,10.0000,2.2071,0.3333,204
143360,4.1346,10.0000,2.0172,0.3125,208
145408,3.8284,10.0000,2.1620,0.3137,204
147456,4.1814,10.0000,2.3400,0.3333,204
149504,4.0049,10.0000,2.0370,0.3186,204
151552,4.1225,10.0000,2.2185,0.3186,204
153600,4.3606,10.0000,2.0719,0.3221,208
155648,4.0735,10.0000,2.0877,0.3333,204
157696,4.1176,10.0000,1.9755,0.3284,204
159744,4.3431,10.0000,2.2171,0.3431,204
161792,4.1667,10.0000,2.0856,0.3333,204
163840,4.3846,10.0000,2.1611,0.3317,208
165888,4.2745,10.0000,2.0633,0.3529,204
167936,4.1275,10.0000,2.0034,0.3088,204
169984,4.1373,10.0000,2.0268,0.3039,204
172032,4.1912,10.0000,2.0387,0.3235,204
174080,4.2308,10.0000,2.1943,0.3173,208
176128,4.0686,10.0000,2.1681,0.3284,204
178176,4.3431,10.0000,2.0711,0.3333,204
180224,4.2353,10.0000,2.1807,0.3725,204
182272,4.3480,10.0000,2.2601,0.3676,204
184320,4.2019,10.0000,2.1350,0.3558,208
186368,4.3186,10.0000,2.1150,0.3382,204
