timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.5343,10.0000,1.1083,0.4461,204
4096,0.5073,10.0000,1.1815,0.4537,205
6144,0.5463,10.0000,1.2478,0.4000,205
8192,0.6829,10.0000,1.4517,0.4878,205
10240,0.7463,10.0000,1.7605,0.5415,205
12288,1.0784,10.0000,2.2206,0.6078,204
14336,1.8341,10.0000,2.5337,0.7366,205
16384,2.1073,10.0000,2.6649,0.7512,205
18432,2.1317,10.0000,2.7620,0.7220,205
20480,2.3073,10.0000,2.8156,0.7268,205
22528,2.1667,10.0000,2.8245,0.7990,204
24576,2.4098,10.0000,2.6741,0.7415,205
26624,2.3902,10.0000,2.7620,0.6976,205
28672,2.3073,10.0000,2.6361,0.7610,205
30720,2.3659,10.0000,2.6151,0.7561,205
32768,2.4412,10.0000,2.6951,0.7157,204
34816,2.5317,10.0000,2.7493,0.7024,205
36864,2.4976,10.0000,2.7629,0.7220,205
38912,2.4390,10.0000,2.7029,0.7024,205
40960,2.5951,10.0000,2.7737,0.7317,205
43008,2.6471,10.0000,2.7201,0.7108,204
45056,2.5512,10.0000,2.8371,0.7610,205
47104,2.6195,10.0000,2.8512,0.7610,205
49152,2.4585,10.0000,2.7951,0.7220,205
50000,2.8353,10.0000,2.8824,0.6471,85
