timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0490,10.0000,1.9309,0.6127,204
4096,0.0488,10.0000,1.9927,0.5171,205
6144,0.1024,10.0000,3.3415,0.7073,205
8192,0.1171,10.0000,4.6015,0.8049,205
10240,0.1317,10.0000,4.0693,0.8000,205
12288,0.1275,10.0000,4.1828,0.7696,204
14336,0.0976,10.0000,4.1732,0.7171,205
16384,0.0878,10.0000,3.6176,0.6341,205
18432,0.1073,10.0000,3.0151,0.5122,205
20480,0.1317,10.0000,3.2429,0.5220,205
22528,0.0980,10.0000,2.9373,0.5343,204
24576,0.1171,10.0000,2.4337,0.5512,205
26624,0.0878,10.0000,2.1039,0.4341,205
28672,0.0488,10.0000,2.1737,0.4341,205
30720,0.1024,10.0000,2.0327,0.3805,205
32768,0.1324,10.0000,2.5775,0.4216,204
34816,0.0780,10.0000,3.3112,0.7122,205
36864,0.0780,10.0000,3.2020,0.8683,205
38912,0.1073,10.0000,2.7859,0.8537,205
40960,0.1268,10.0000,3.4932,0.8780,205
43008,0.0833,10.0000,3.1956,0.8922,204
45056,0.0976,10.0000,3.2020,0.8780,205
47104,0.0585,10.0000,2.9766,0.9220,205
49152,0.0585,10.0000,2.6634,0.9463,205
50000,0.0588,10.0000,2.7412,0.9294,85
