timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.4461,10.0000,1.2952,0.2549,204
4096,0.4902,10.0000,1.1639,0.2745,204
6144,0.5980,10.0000,1.2749,0.2696,204
8192,0.4412,10.0000,1.2114,0.2941,204
10240,0.6490,10.0000,1.1303,0.2596,208
12288,0.6078,10.0000,1.2937,0.3186,204
14336,0.5833,10.0000,1.3133,0.2549,204
16384,0.5392,10.0000,1.3217,0.2647,204
18432,0.6127,10.0000,1.2839,0.2500,204
20480,0.5529,10.0000,1.1894,0.2788,208
22528,0.5294,10.0000,1.1316,0.2745,204
24576,0.6422,10.0000,1.3451,0.2745,204
26624,0.6176,10.0000,1.5348,0.2941,204
28672,0.6716,10.0000,1.2385,0.3137,204
30720,0.7596,10.0000,1.4129,0.3029,208
32768,0.9265,10.0000,1.4812,0.2794,204
34816,0.8529,10.0000,1.4041,0.2696,204
36864,0.8284,10.0000,1.3225,0.2941,204
38912,0.9363,10.0000,1.6832,0.2745,204
40960,0.9663,10.0000,1.5793,0.2596,208
43008,0.9412,10.0000,1.7019,0.3186,204
45056,1.1422,10.0000,1.9216,0.3088,204
47104,1.2696,10.0000,1.9999,0.3088,204
49152,1.2549,10.0000,1.8437,0.2941,204
51200,1.4471,10.0000,2.2405,0.3558,208
53248,1.4265,10.0000,2.1901,0.3186,204
55296,1.5000,10.0000,2.3225,0.3186,204
57344,1.4363,10.0000,2.3727,0.3333,204
59392,1.4706,10.0000,2.2283,0.3137,204
61440,1.6058,10.0000,2.3295,0.3125,208
63488,1.5833,10.0000,2.3414,0.3088,204
65536,1.6961,10.0000,2.4830,0.3235,204
67584,1.7647,10.0000,2.3304,0.2941,204
69632,1.8676,10.0000,2.4180,0.3333,204
71680,1.6346,10.0000,2.6188,0.3317,208
73728,1.7304,10.0000,2.7262,0.3431,204
75776,1.7402,10.0000,2.8284,0.3578,204
77824,1.7402,10.0000,2.8494,0.3529,204
79872,1.9069,10.0000,2.6906,0.3676,204
81920,1.9615,10.0000,2.4131,0.3125,208
83968,1.8676,10.0000,2.5083,0.3235,204
86016,1.7353,10.0000,2.3971,0.3431,204
88064,1.8676,10.0000,2.4307,0.3284,204
90112,2.0833,10.0000,2.5862,0.3578,204
92160,2.1779,10.0000,2.3837,0.2981,208
94208,2.3284,10.0000,2.3217,0.3235,204
96256,2.1569,10.0000,2.2472,0.3333,204
98304,1.9608,10.0000,2.3359,0.3235,204
100352,2.0686,10.0000,2.3177,0.3284,204
102400,2.1010,10.0000,2.5286,0.3221,208
104448,2.2598,10.0000,2.3922,0.3186,204
106496,2.2206,10.0000,2.2047,0.3431,204
108544,2.3284,10.0000,2.4010,0.3676,204
110592,2.5490,10.0000,2.0733,0.3235,204
112640,2.5000,10.0000,2.2063,0.2981,208
114688,2.3922,10.0000,2.2116,0.3137,204
116736,2.6520,10.0000,2.4353,0.3235,204
118784,2.6814,10.0000,2.2455,0.3235,204
120832,2.3431,10.0000,2.1582,0.3382,204
122880,2.5721,10.0000,2.2339,0.2933,208
124928,2.7304,10.0000,2.2704,0.2892,204
126976,2.6225,10.0000,2.2762,0.3382,204
129024,2.7892,10.0000,2.2766,0.3235,204
131072,2.6422,10.0000,2.2625,0.3333,204
133120,2.6538,10.0000,2.3463,0.3269,208
135168,2.7696,10.0000,2.3174,0.3431,204
137216,2.8088,10.0000,2.1700,0.3480,204
139264,2.5980,10.0000,2.3931,0.3186,204
141312,3.0931,10.0000,2.1298,0.3284,204
143360,2.8846,10.0000,2.0748,0.3462,208
145408,2.7157,10.0000,2.3429,0.3088,204
147456,2.9853,10.0000,2.3101,0.3676,204
149504,2.8137,10.0000,2.1139,0.3235,204
151552,3.0686,10.0000,2.3127,0.3480,204
153600,2.9423,10.0000,2.1454,0.3029,208
155648,3.1324,10.0000,2.3259,0.3431,204
157696,3.0637,10.0000,2.1483,0.3088,204
159744,3.0686,10.0000,2.1399,0.3186,204
161792,3.0735,10.0000,2.3079,0.3235,204
163840,3.1442,10.0000,2.2501,0.3702,208
165888,3.2598,10.0000,2.2988,0.2892,204
167936,2.9902,10.0000,2.1129,0.3333,204
169984,2.9559,10.0000,2.0178,0.3480,204
172032,3.2892,10.0000,2.0872,0.3186,204
174080,3.1875,10.0000,2.1036,0.3558,208
176128,3.0245,10.0000,2.1392,0.2941,204
178176,3.1618,10.0000,2.0339,0.3725,204
180224,3.0637,10.0000,2.0802,0.3333,204
182272,3.0441,10.0000,2.0446,0.3431,204
184320,3.2212,10.0000,2.1114,0.3173,208
186368,3.3235,10.0000,2.0196,0.3627,204
188416,3.2990,10.0000,1.9974,0.3235,204
190464,3.2745,10.0000,1.8450,0.3137,204
192512,3.2108,10.0000,1.9330,0.3431,204
194560,3.2500,10.0000,2.0683,0.3029,208
196608,3.3333,10.0000,2.0725,0.3235,204
198656,3.3824,10.0000,2.0654,0.3382,204
200704,3.3480,10.0000,1.9359,0.3431,204
202752,3.2941,10.0000,2.0303,0.3039,204
204800,3.4375,10.0000,2.0886,0.3317,208
206848,3.3676,10.0000,2.0660,0.3578,204
208896,3.1814,10.0000,2.0458,0.3088,204
210944,3.4902,10.0000,1.9481,0.3382,204
212992,3.4902,10.0000,2.0574,0.3039,204
215040,3.4567,10.0000,1.8873,0.3317,208
217088,3.3627,10.0000,2.2121,0.2941,204
219136,3.4559,10.0000,1.9110,0.3529,204
221184,3.4902,10.0000,2.0257,0.2941,204
223232,3.5441,10.0000,2.2186,0.3725,204
225280,3.3413,10.0000,2.1957,0.3365,208
227328,3.4951,10.0000,1.9628,0.3235,204
229376,3.4559,10.0000,1.9801,0.3284,204
231424,3.4167,10.0000,2.0299,0.3186,204
233472,3.6716,10.0000,1.9485,0.3235,204
235520,3.5288,10.0000,1.8328,0.3269,208
237568,3.6176,10.0000,2.0144,0.3627,204
239616,3.5784,10.0000,2.1341,0.3039,204
241664,3.5686,10.0000,1.8633,0.2892,204
243712,3.5931,10.0000,2.0140,0.3186,204
245760,3.5433,10.0000,1.8712,0.3173,208
247808,3.5343,10.0000,1.8464,0.2990,204
249856,3.5882,10.0000,2.0220,0.2941,204
251904,3.5637,10.0000,2.0264,0.3186,204
253952,3.6863,10.0000,1.8506,0.3333,204
256000,3.7404,10.0000,1.9948,0.3317,208
258048,3.6814,10.0000,1.9426,0.3186,204
260096,3.6029,10.0000,1.8743,0.3284,204
262144,3.8333,10.0000,1.9977,0.3137,204
264192,3.4853,10.0000,1.9171,0.3088,204
266240,3.5962,10.0000,2.1914,0.3125,208
268288,3.5245,10.0000,1.7124,0.3039,204
270336,3.4951,10.0000,1.9242,0.3284,204
272384,3.5637,10.0000,2.0314,0.3284,204
274432,3.5980,10.0000,1.9797,0.3284,204
276480,3.7019,10.0000,1.8827,0.3173,208
278528,3.8137,10.0000,1.8382,0.3284,204
280576,3.4167,10.0000,2.0028,0.3431,204
282624,3.6912,10.0000,1.8922,0.3235,204
284672,3.5588,10.0000,1.8874,0.3529,204
286720,3.5865,10.0000,1.8666,0.3077,208
288768,3.7353,10.0000,1.8641,0.3382,204
290816,3.4363,10.0000,1.8337,0.3431,204
292864,3.6814,10.0000,1.9322,0.3235,204
294912,3.7500,10.0000,1.8646,0.3235,204
296960,3.6394,10.0000,1.8760,0.3365,208
299008,3.8235,10.0000,1.8724,0.3088,204
301056,3.6765,10.0000,1.7806,0.3088,204
303104,3.8922,10.0000,1.6713,0.3186,204
305152,3.7059,10.0000,1.7912,0.3333,204
307200,3.8750,10.0000,1.8217,0.3317,208
309248,3.7500,10.0000,1.9241,0.2990,204
311296,3.8529,10.0000,1.7907,0.3382,204
313344,3.7745,10.0000,1.7259,0.2941,204
315392,3.7402,10.0000,1.9796,0.3137,204
317440,3.5673,10.0000,1.8302,0.3077,208
319488,3.5392,10.0000,1.8716,0.3333,204
321536,3.6422,10.0000,1.8037,0.3235,204
323584,3.7500,10.0000,1.7193,0.2892,204
325632,3.8431,10.0000,1.9123,0.3039,204
327680,3.7019,10.0000,1.7586,0.3365,208
329728,3.6569,10.0000,1.7821,0.3333,204
331776,3.7696,10.0000,1.8931,0.2990,204
333824,3.6422,10.0000,1.7300,0.3284,204
335872,4.0490,10.0000,1.7658,0.2990,204
337920,3.8942,10.0000,1.8529,0.3125,208
339968,3.8137,10.0000,1.6528,0.3284,204
342016,3.7353,10.0000,1.8039,0.3039,204
