timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.4853,10.0000,1.0976,0.2402,204
4096,0.6078,10.0000,1.1668,0.2304,204
6144,0.5490,10.0000,1.4391,0.2696,204
8192,0.6127,10.0000,1.2040,0.2549,204
10240,0.5962,10.0000,1.0350,0.2548,208
12288,0.5539,10.0000,1.3137,0.2500,204
14336,0.6667,10.0000,1.3003,0.2255,204
16384,0.6716,10.0000,1.2606,0.2304,204
18432,0.6078,10.0000,1.2231,0.2304,204
20480,0.6683,10.0000,1.2235,0.2115,208
22528,0.6373,10.0000,1.1122,0.2451,204
24576,0.6814,10.0000,1.4152,0.2647,204
26624,0.6765,10.0000,1.4607,0.2696,204
28672,0.7255,10.0000,1.3320,0.2402,204
30720,0.7933,10.0000,1.3663,0.2933,208
32768,0.7794,10.0000,1.4564,0.2696,204
34816,0.7402,10.0000,1.4486,0.2794,204
36864,0.7402,10.0000,1.4595,0.3431,204
38912,1.0833,10.0000,1.6877,0.2941,204
40960,1.0337,10.0000,1.8464,0.3029,208
43008,1.2255,10.0000,1.9421,0.2941,204
45056,1.2549,10.0000,2.0416,0.3186,204
47104,1.4902,10.0000,2.1652,0.3235,204
49152,1.4216,10.0000,2.1509,0.3186,204
50000,1.6136,10.0000,2.2316,0.3523,88
