timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.5833,10.0000,1.1260,0.2745,204
4096,0.5441,10.0000,1.2847,0.2500,204
6144,0.4951,10.0000,0.9587,0.2353,204
8192,0.4755,10.0000,1.1696,0.2892,204
10240,0.5385,10.0000,1.3997,0.2596,208
12288,0.5490,10.0000,1.1895,0.2647,204
14336,0.5882,10.0000,1.2173,0.2843,204
16384,0.5000,10.0000,1.2870,0.2549,204
18432,0.5147,10.0000,1.2434,0.2794,204
20480,0.6250,10.0000,1.2847,0.2837,208
22528,0.5931,10.0000,1.3561,0.2647,204
24576,0.6618,10.0000,1.3985,0.2941,204
26624,0.5833,10.0000,1.4075,0.2892,204
28672,0.5196,10.0000,1.3426,0.2647,204
30720,0.7788,10.0000,1.5446,0.2933,208
32768,0.7843,10.0000,1.4780,0.2549,204
34816,0.9461,10.0000,1.3854,0.2941,204
36864,0.9951,10.0000,1.7640,0.3186,204
38912,0.9265,10.0000,1.7232,0.2941,204
40960,1.0240,10.0000,1.6963,0.2885,208
43008,1.0637,10.0000,1.7107,0.2843,204
45056,1.1176,10.0000,1.8654,0.3284,204
47104,1.2549,10.0000,1.9951,0.3186,204
49152,1.2157,10.0000,2.0929,0.2941,204
51200,1.2837,10.0000,2.3134,0.3269,208
53248,1.4853,10.0000,2.2239,0.3039,204
55296,1.4755,10.0000,2.3193,0.3186,204
57344,1.5392,10.0000,2.3865,0.3333,204
59392,1.5882,10.0000,2.1897,0.3235,204
61440,1.4231,10.0000,2.2500,0.3029,208
63488,1.5490,10.0000,2.5208,0.3676,204
65536,1.6814,10.0000,2.3475,0.3186,204
67584,1.6373,10.0000,2.4738,0.3186,204
69632,1.7941,10.0000,2.4784,0.3235,204
71680,1.7115,10.0000,2.2617,0.3077,208
73728,1.8039,10.0000,2.4508,0.2941,204
75776,1.8873,10.0000,2.6106,0.3186,204
77824,1.8725,10.0000,2.3510,0.3333,204
79872,1.9510,10.0000,2.2511,0.3088,204
81920,1.8654,10.0000,2.3167,0.3077,208
83968,2.1520,10.0000,2.2405,0.3137,204
86016,1.8676,10.0000,2.1872,0.3480,204
88064,1.9020,10.0000,2.2924,0.3382,204
90112,2.0245,10.0000,2.2594,0.3186,204
92160,2.1250,10.0000,2.2180,0.2933,208
94208,2.2157,10.0000,2.2810,0.3235,204
96256,2.1520,10.0000,1.8976,0.3186,204
98304,2.4363,10.0000,2.2842,0.2990,204
100352,2.2598,10.0000,2.0527,0.3578,204
102400,2.2212,10.0000,2.0004,0.3365,208
104448,2.4020,10.0000,1.9379,0.3284,204
106496,2.4020,10.0000,2.0506,0.3382,204
108544,2.6422,10.0000,2.1346,0.3235,204
110592,2.6078,10.0000,2.0653,0.3235,204
112640,2.6875,10.0000,1.9401,0.3221,208
114688,2.6324,10.0000,2.0366,0.2990,204
116736,2.3382,10.0000,2.0657,0.3088,204
118784,2.7696,10.0000,1.9836,0.3137,204
120832,2.7402,10.0000,1.7232,0.2794,204
122880,2.7933,10.0000,1.8798,0.3221,208
124928,2.6961,10.0000,1.7636,0.3137,204
126976,2.9363,10.0000,1.9038,0.3284,204
129024,2.8578,10.0000,1.8861,0.3186,204
131072,3.0441,10.0000,1.7069,0.3186,204
133120,3.0481,10.0000,1.7371,0.3125,208
135168,2.9804,10.0000,1.7840,0.3235,204
137216,2.9559,10.0000,1.6892,0.3235,204
139264,3.1618,10.0000,1.7356,0.3333,204
141312,3.0196,10.0000,1.7227,0.3088,204
143360,3.2644,10.0000,1.9235,0.3317,208
145408,3.1127,10.0000,1.6064,0.3088,204
147456,3.0441,10.0000,1.7928,0.3284,204
149504,3.0392,10.0000,1.7715,0.3137,204
151552,3.1814,10.0000,1.6109,0.3284,204
153600,3.1250,10.0000,1.6749,0.3077,208
155648,3.1373,10.0000,1.5615,0.3039,204
157696,3.3480,10.0000,1.7277,0.3333,204
159744,3.1373,10.0000,1.6999,0.3235,204
161792,3.1520,10.0000,1.6545,0.2892,204
163840,3.2644,10.0000,1.6306,0.3125,208
165888,3.3137,10.0000,1.5472,0.3333,204
167936,3.4461,10.0000,1.5168,0.3235,204
169984,3.2647,10.0000,1.7068,0.3137,204
172032,3.3431,10.0000,1.4034,0.2990,204
174080,3.4952,10.0000,1.6116,0.3221,208
176128,3.2206,10.0000,1.6510,0.3137,204
178176,3.3676,10.0000,1.6628,0.3137,204
180224,3.3039,10.0000,1.5236,0.3431,204
182272,3.5098,10.0000,1.4507,0.2990,204
184320,3.4808,10.0000,1.4952,0.3077,208
186368,3.5392,10.0000,1.4364,0.3382,204
188416,3.4265,10.0000,1.4907,0.2794,204
190464,3.5245,10.0000,1.4201,0.3088,204
192512,3.5931,10.0000,1.4946,0.2990,204
194560,3.4423,10.0000,1.5042,0.2548,208
196608,3.7304,10.0000,1.5282,0.2892,204
198656,3.3922,10.0000,1.4237,0.3186,204
200000,3.5882,10.0000,1.6172,0.3015,136
