timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.5588,10.0000,1.2064,0.4216,204
4096,0.5756,10.0000,1.2141,0.3756,205
6144,0.7073,10.0000,1.2844,0.4780,205
8192,0.7854,10.0000,1.4483,0.5317,205
10240,0.9805,10.0000,1.8278,0.5659,205
12288,1.4510,10.0000,2.2917,0.6961,204
14336,2.1073,10.0000,2.4785,0.7463,205
16384,2.3610,10.0000,2.6244,0.7073,205
18432,2.4732,10.0000,2.5659,0.7024,205
20480,2.7073,10.0000,2.6966,0.6878,205
22528,2.6029,10.0000,2.6485,0.7157,204
24576,2.7902,10.0000,2.6995,0.6195,205
26624,2.8732,10.0000,2.8707,0.6878,205
28672,3.0634,10.0000,2.8400,0.7610,205
30720,2.9707,10.0000,2.8337,0.7268,205
32768,3.0784,10.0000,2.6887,0.7843,204
34816,3.2000,10.0000,2.6302,0.7024,205
36864,3.2634,10.0000,2.6273,0.6878,205
38912,3.4195,10.0000,2.6244,0.6927,205
40960,3.4146,10.0000,2.5868,0.6683,205
43008,3.6225,10.0000,2.5211,0.6863,204
45056,3.5415,10.0000,2.5537,0.6146,205
47104,3.5610,10.0000,2.4907,0.6878,205
49152,3.6000,10.0000,2.4273,0.6049,205
50000,3.5765,10.0000,2.4141,0.6353,85
