timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.6176,10.0000,1.1948,0.2696,204
4096,0.5735,10.0000,1.3525,0.2794,204
6144,0.5098,10.0000,1.0988,0.2598,204
8192,0.5294,10.0000,1.2269,0.2745,204
10240,0.6250,10.0000,1.4142,0.2596,208
12288,0.5735,10.0000,1.0726,0.2990,204
14336,0.5637,10.0000,1.2884,0.2892,204
16384,0.6078,10.0000,1.3034,0.2745,204
18432,0.6029,10.0000,1.1974,0.2500,204
20480,0.7548,10.0000,1.2599,0.2885,208
22528,0.5784,10.0000,1.4118,0.2941,204
24576,0.8137,10.0000,1.5672,0.2794,204
26624,0.6667,10.0000,1.4410,0.2990,204
28672,0.7549,10.0000,1.5507,0.3088,204
30720,0.7933,10.0000,1.6485,0.3125,208
32768,0.8137,10.0000,1.7153,0.3333,204
34816,1.0294,10.0000,1.5415,0.3088,204
36864,0.8431,10.0000,1.9977,0.2794,204
38912,1.0392,10.0000,2.0562,0.3529,204
40960,1.2115,10.0000,2.2356,0.3413,208
43008,1.3284,10.0000,2.1734,0.3676,204
45056,1.2843,10.0000,2.2557,0.3529,204
47104,1.3382,10.0000,2.4818,0.3235,204
49152,1.4755,10.0000,2.4913,0.3578,204
51200,1.4712,10.0000,2.7309,0.3462,208
53248,1.5343,10.0000,2.7999,0.3676,204
55296,1.6520,10.0000,2.8308,0.3333,204
57344,1.6814,10.0000,3.1065,0.3235,204
59392,1.7402,10.0000,2.8506,0.3627,204
61440,1.6202,10.0000,3.0194,0.3365,208
63488,1.7402,10.0000,3.0608,0.3529,204
65536,1.8873,10.0000,3.1683,0.3676,204
67584,1.9510,10.0000,3.0346,0.3235,204
69632,1.8039,10.0000,3.0054,0.3725,204
71680,1.9327,10.0000,3.3081,0.3510,208
73728,2.1422,10.0000,3.0390,0.3431,204
75776,2.0784,10.0000,3.0224,0.3578,204
77824,2.0833,10.0000,3.1769,0.3627,204
79872,2.3971,10.0000,2.9470,0.3235,204
81920,2.1779,10.0000,2.9549,0.3846,208
83968,2.2794,10.0000,2.7960,0.3578,204
86016,2.3578,10.0000,3.1871,0.3971,204
88064,2.4804,10.0000,2.8516,0.3529,204
90112,2.2598,10.0000,2.9640,0.3676,204
92160,2.2404,10.0000,3.0379,0.3413,208
94208,2.5637,10.0000,3.2872,0.3529,204
96256,2.5392,10.0000,3.0937,0.3480,204
98304,2.5098,10.0000,3.1920,0.3480,204
100352,2.7990,10.0000,2.7961,0.3284,204
102400,2.5769,10.0000,3.0040,0.3221,208
104448,2.7010,10.0000,3.1106,0.3775,204
106496,2.6176,10.0000,2.9803,0.3627,204
108544,2.7941,10.0000,3.1070,0.2990,204
110592,2.8382,10.0000,3.0185,0.3333,204
112640,2.7308,10.0000,3.1052,0.3606,208
114688,2.9412,10.0000,2.7460,0.3284,204
116736,2.8725,10.0000,2.7789,0.3333,204
118784,2.8578,10.0000,2.6892,0.3431,204
120832,3.0637,10.0000,2.9065,0.3186,204
122880,3.0096,10.0000,2.7217,0.3317,208
124928,3.1176,10.0000,2.8153,0.3529,204
126976,3.0637,10.0000,3.0525,0.3431,204
129024,3.0588,10.0000,2.8229,0.3529,204
131072,2.9461,10.0000,2.9825,0.3382,204
133120,3.0673,10.0000,2.9709,0.3413,208
135168,3.0245,10.0000,2.8313,0.3382,204
137216,3.1618,10.0000,2.6857,0.3578,204
139264,3.1127,10.0000,2.7397,0.3578,204
141312,3.2059,10.0000,2.8559,0.3333,204
143360,2.9423,10.0000,2.9456,0.3654,208
145408,3.0980,10.0000,2.7923,0.3578,204
147456,3.1569,10.0000,2.9271,0.3284,204
149504,3.1716,10.0000,2.7738,0.3873,204
151552,3.2206,10.0000,2.7215,0.3431,204
153600,3.1058,10.0000,2.6766,0.3317,208
155648,3.4020,10.0000,2.6970,0.3627,204
157696,3.1176,10.0000,3.0587,0.3382,204
159744,3.1176,10.0000,2.8920,0.3578,204
161792,3.4559,10.0000,2.7675,0.3431,204
163840,3.2163,10.0000,2.6950,0.3606,208
165888,3.1520,10.0000,2.8156,0.3186,204
167936,3.3137,10.0000,3.0238,0.3529,204
169984,3.1912,10.0000,2.9081,0.3676,204
172032,3.2500,10.0000,3.1112,0.3529,204
174080,3.3077,10.0000,2.9958,0.3606,208
176128,3.1225,10.0000,3.0495,0.3284,204
178176,3.1176,10.0000,2.8198,0.3578,204
180224,3.2647,10.0000,2.8573,0.3627,204
182272,3.3529,10.0000,2.8665,0.3088,204
184320,3.1442,10.0000,2.8562,0.3702,208
186368,3.1863,10.0000,2.7504,0.3382,204
188416,3.1863,10.0000,2.8915,0.3333,204
190464,3.4216,10.0000,2.7864,0.3480,204
192512,3.2353,10.0000,2.6063,0.3382,204
194560,3.4038,10.0000,2.8181,0.3558,208
196608,3.2941,10.0000,2.9240,0.3529,204
198656,3.2696,10.0000,2.8555,0.3333,204
200000,3.3750,10.0000,3.1492,0.3382,136
