timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.4657,10.0000,1.2236,0.2402,204
4096,0.5098,10.0000,1.1112,0.2598,204
6144,0.5392,10.0000,1.3786,0.2745,204
8192,0.6422,10.0000,1.2860,0.2696,204
10240,0.4856,10.0000,1.2588,0.2837,208
12288,0.6176,10.0000,1.2375,0.2598,204
14336,0.5588,10.0000,1.3386,0.2745,204
16384,0.6471,10.0000,1.3855,0.2990,204
18432,0.5931,10.0000,1.3125,0.2402,204
20480,0.6106,10.0000,1.2968,0.2788,208
22528,0.6176,10.0000,1.3059,0.3088,204
24576,0.6961,10.0000,1.6203,0.3039,204
26624,0.6275,10.0000,1.6688,0.2647,204
28672,0.7304,10.0000,1.3613,0.2990,204
30720,0.7692,10.0000,1.5256,0.2837,208
32768,0.8333,10.0000,1.7273,0.3088,204
34816,0.9069,10.0000,1.7685,0.2892,204
36864,0.8873,10.0000,1.8218,0.2990,204
38912,1.0980,10.0000,1.8480,0.3186,204
40960,1.2548,10.0000,2.1299,0.3173,208
43008,1.1716,10.0000,2.2552,0.3186,204
45056,1.2647,10.0000,2.5395,0.3235,204
47104,1.2353,10.0000,2.4364,0.3529,204
49152,1.3676,10.0000,2.2525,0.3333,204
51200,1.4856,10.0000,2.7002,0.3413,208
53248,1.5588,10.0000,2.8394,0.3186,204
55296,1.4804,10.0000,3.0266,0.3431,204
57344,1.8235,10.0000,2.9342,0.4020,204
59392,1.6373,10.0000,2.9205,0.3235,204
