timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0034,1.0034,1.8329,0.1509,2041
4096,0.0109,1.0109,1.8050,0.1456,2026
6144,0.0109,1.0109,1.8226,0.1446,2026
8192,0.0074,1.0074,1.8888,0.1648,2033
10240,0.0149,1.0149,1.9404,0.1432,2018
12288,0.0049,1.0049,2.0888,0.1757,2038
14336,0.0124,1.0124,2.4086,0.1750,2023
16384,0.0174,1.0174,3.1319,0.1873,2013
18432,0.0888,1.0888,3.9866,0.1122,1881
20480,0.2511,1.2511,3.0744,0.0666,1637
22528,0.3327,1.3327,2.3521,0.0352,1536
24576,0.3160,1.3160,2.2372,0.0340,1557
26624,0.2931,1.2931,2.1206,0.0208,1583
28672,0.3262,1.3262,2.2228,0.0252,1545
30720,0.1473,1.1473,2.1704,0.1120,1785
32768,0.0079,1.0079,2.0189,0.1565,2032
34816,0.0149,1.0149,2.2047,0.1665,2018
36864,0.0240,1.0240,3.4471,0.1790,2000
38912,0.0611,1.0611,4.2840,0.0850,1930
40960,0.0276,1.0276,3.3525,0.1109,1993
43008,0.0876,1.0876,4.6325,0.0212,1883
45056,0.1118,1.1118,4.4168,0.0190,1842
47104,0.1204,1.1204,4.2980,0.0109,1828
49152,0.1597,1.1597,4.0488,0.0147,1766
51200,0.1757,1.1757,3.7638,0.0063,1742
53248,0.1845,1.1845,3.5885,0.0075,1729
55296,0.2075,1.2075,3.5380,0.0065,1696
57344,0.2278,1.2278,3.4624,0.0102,1668
59392,0.2611,1.2611,3.4055,0.0099,1624
61440,0.2634,1.2634,3.5960,0.0074,1621
63488,0.2736,1.2736,3.4454,0.0137,1608
65536,0.2897,1.2897,3.3928,0.0145,1588
67584,0.3230,1.3230,3.3286,0.0161,1548
69632,0.3247,1.3247,3.2400,0.0175,1546
71680,0.3120,1.3120,3.3271,0.0147,1561
73728,0.3449,1.3449,3.1664,0.0191,1522
75776,0.3534,1.3534,3.2259,0.0211,1514
77824,0.3672,1.3672,3.1449,0.0180,1498
79872,0.3717,1.3717,3.1020,0.0174,1493
81920,0.3619,1.3619,3.1712,0.0146,1503
83968,0.4105,1.4105,3.0677,0.0193,1452
86016,0.4047,1.4047,3.0161,0.0199,1458
88064,0.3929,1.3929,3.1591,0.0292,1471
90112,0.4134,1.4134,3.0962,0.0152,1449
92160,0.4504,1.4504,3.0224,0.0269,1412
94208,0.0286,1.0286,1.8867,0.1336,1991
96256,0.0074,1.0074,1.7044,0.1761,2033
98304,0.0044,1.0044,1.5912,0.1412,2039
100352,0.0054,1.0054,1.5746,0.1620,2037
102400,0.0039,1.0039,1.4400,0.1868,2040
104448,0.0706,1.0706,4.5509,0.1553,1913
106496,0.1100,1.1100,5.5491,0.0894,1845
108544,0.1197,1.1197,5.6292,0.0765,1829
110592,0.0281,1.0281,2.7984,0.1170,1992
112640,0.0039,1.0039,1.4294,0.0892,2040
114688,0.0049,1.0049,2.6992,0.1001,2038
116736,0.1017,1.1017,3.8470,0.0172,1859
118784,0.1191,1.1191,3.6033,0.0448,1830
