timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0059,1.0059,1.8500,0.1361,2036
4096,0.0049,1.0049,1.8241,0.1207,2038
6144,0.0054,1.0054,1.7946,0.1129,2037
8192,0.0079,1.0079,1.8540,0.1235,2032
10240,0.0099,1.0099,1.8321,0.1243,2028
12288,0.0059,1.0059,1.8128,0.1375,2036
14336,0.0074,1.0074,1.8945,0.1195,2033
16384,0.0079,1.0079,1.9102,0.1280,2032
18432,0.0109,1.0109,2.1061,0.1357,2026
20480,0.0245,1.0245,2.7104,0.1576,1999
22528,0.0385,1.0385,3.2459,0.1876,1972
24576,0.0656,1.0656,3.2250,0.1504,1922
26624,0.0639,1.0639,3.1760,0.1683,1925
28672,0.0644,1.0644,3.1340,0.1580,1924
30720,0.0622,1.0622,3.1279,0.1665,1928
32768,0.0540,1.0540,3.0682,0.1729,1943
34816,0.0768,1.0768,2.9984,0.1614,1902
36864,0.0695,1.0695,2.9606,0.1499,1915
38912,0.0836,1.0836,2.9530,0.1524,1890
40960,0.0899,1.0899,2.8561,0.1480,1879
43008,0.0813,1.0813,2.8143,0.1536,1894
45056,0.0876,1.0876,2.8397,0.1529,1883
47104,0.0865,1.0865,2.9676,0.1459,1885
49152,0.0923,1.0923,2.9442,0.1494,1874
51200,0.1028,1.1028,2.8652,0.1399,1858
53248,0.1161,1.1161,2.9016,0.1314,1834
55296,0.1160,1.1160,3.0005,0.1563,1836
57344,0.1173,1.1173,2.9861,0.1462,1833
59392,0.1088,1.1088,2.9818,0.1386,1847
61440,0.1185,1.1185,2.8380,0.1365,1831
63488,0.1271,1.1271,2.8074,0.1348,1817
65536,0.1297,1.1297,2.8422,0.1369,1812
67584,0.1320,1.1320,2.7502,0.1331,1810
69632,0.1391,1.1391,2.7079,0.1358,1797
71680,0.1409,1.1409,2.7340,0.1281,1796
73728,0.1417,1.1417,2.7837,0.1277,1793
75776,0.1447,1.1447,2.7905,0.1302,1790
77824,0.1512,1.1512,2.7364,0.1287,1779
79872,0.1461,1.1461,2.8069,0.1153,1787
81920,0.1359,1.1359,2.7402,0.1276,1803
83968,0.1429,1.1429,2.6925,0.1161,1791
86016,0.1402,1.1402,2.7359,0.1297,1797
88064,0.1365,1.1365,2.6203,0.1260,1802
90112,0.1525,1.1525,2.5483,0.1255,1777
92160,0.1441,1.1441,2.5230,0.1285,1790
94208,0.1228,1.1228,2.5884,0.1288,1824
96256,0.1468,1.1468,2.5822,0.1238,1785
98304,0.1498,1.1498,2.5297,0.1313,1782
100352,0.1571,1.1571,2.5258,0.1040,1770
102400,0.1644,1.1644,2.4984,0.0973,1758
104448,0.1756,1.1756,2.5699,0.1216,1743
106496,0.1763,1.1763,2.4768,0.1212,1741
108544,0.1610,1.1610,2.5255,0.1139,1764
110592,0.1577,1.1577,2.4912,0.1193,1769
112640,0.1670,1.1670,2.4756,0.1174,1755
114688,0.1623,1.1623,2.4954,0.1112,1762
116736,0.1770,1.1770,2.4469,0.1023,1740
118784,0.1696,1.1696,2.5153,0.1211,1751
120832,0.1630,1.1630,2.4554,0.1210,1761
122880,0.1656,1.1656,2.4861,0.1133,1757
124928,0.1716,1.1716,2.4919,0.1035,1748
126976,0.1757,1.1757,2.4412,0.0999,1742
129024,0.1824,1.1824,2.4303,0.1149,1732
131072,0.1663,1.1663,2.3587,0.1185,1756
133120,0.1791,1.1791,2.4072,0.1175,1736
135168,0.1878,1.1878,2.4071,0.1345,1725
137216,0.1736,1.1736,2.4319,0.1123,1745
139264,0.1845,1.1845,2.4041,0.1116,1729
141312,0.1696,1.1696,2.3734,0.1131,1751
143360,0.1777,1.1777,2.4428,0.0995,1739
145408,0.1893,1.1893,2.3971,0.1127,1722
147456,0.2005,1.2005,2.3118,0.0961,1706
149504,0.1777,1.1777,2.3319,0.1104,1739
151552,0.1970,1.1970,2.3705,0.1023,1711
153600,0.1757,1.1757,2.3967,0.1010,1742
155648,0.2068,1.2068,2.3398,0.1344,1697
157696,0.1763,1.1763,2.3891,0.1034,1741
159744,0.2026,1.2026,2.3385,0.1039,1703
161792,0.1879,1.1879,2.3403,0.1114,1724
163840,0.1977,1.1977,2.3233,0.0965,1710
165888,0.1907,1.1907,2.3202,0.1116,1720
167936,0.2075,1.2075,2.2849,0.1014,1696
169984,0.1893,1.1893,2.2946,0.0981,1722
172032,0.1879,1.1879,2.3117,0.1027,1724
174080,0.1998,1.1998,2.3190,0.1131,1707
176128,0.1866,1.1866,2.3906,0.1095,1726
178176,0.1893,1.1893,2.3386,0.1103,1722
180224,0.1970,1.1970,2.3181,0.1210,1711
182272,0.1999,1.1999,2.2716,0.0991,1706
184320,0.2218,1.2218,2.3006,0.1044,1677
186368,0.1914,1.1914,2.2942,0.1146,1719
188416,0.2147,1.2147,2.3173,0.1050,1686
190464,0.1797,1.1797,2.3286,0.1014,1736
192512,0.2068,1.2068,2.3046,0.1196,1697
194560,0.1824,1.1824,2.2703,0.1051,1732
196608,0.2040,1.2040,2.2465,0.1205,1701
198656,0.2068,1.2068,2.2955,0.1196,1697
200704,0.1907,1.1907,2.3584,0.1209,1720
202752,0.2090,1.2090,2.2601,0.1122,1694
204800,0.2019,1.2019,2.3579,0.1256,1704
206848,0.2097,1.2097,2.3370,0.1057,1693
208896,0.2256,1.2256,2.2611,0.1065,1671
210944,0.2183,1.2183,2.3074,0.1077,1681
212992,0.2140,1.2140,2.2658,0.1079,1687
215040,0.2236,1.2236,2.2956,0.1291,1673
217088,0.2160,1.2160,2.2311,0.1074,1685
219136,0.2126,1.2126,2.3120,0.1166,1689
221184,0.2097,1.2097,2.3472,0.1110,1693
223232,0.1928,1.1928,2.3151,0.1159,1717
225280,0.2399,1.2399,2.3413,0.1199,1651
227328,0.2182,1.2182,2.3281,0.1064,1682
229376,0.2140,1.2140,2.3273,0.1138,1687
231424,0.2156,1.2156,2.3153,0.1241,1684
233472,0.2176,1.2176,2.2852,0.1082,1682
235520,0.2175,1.2175,2.2707,0.1111,1683
237568,0.2111,1.2111,2.2634,0.1195,1691
239616,0.2169,1.2169,2.3458,0.1307,1683
241664,0.2241,1.2241,2.2899,0.1207,1673
243712,0.2274,1.2274,2.2676,0.1128,1667
245760,0.2232,1.2232,2.2258,0.1092,1676
247808,0.2323,1.2323,2.1832,0.1173,1662
249856,0.2061,1.2061,2.2235,0.1078,1698
251904,0.2176,1.2176,2.2757,0.1141,1682
253952,0.2162,1.2162,2.2798,0.1247,1684
256000,0.2309,1.2309,2.2280,0.1088,1663
258048,0.2366,1.2366,2.2902,0.1092,1657
260096,0.2263,1.2263,2.2476,0.1198,1670
262144,0.2293,1.2293,2.2871,0.1194,1666
264192,0.2382,1.2382,2.2450,0.1270,1654
266240,0.2249,1.2249,2.2689,0.1142,1672
268288,0.2375,1.2375,2.2236,0.1323,1655
270336,0.2541,1.2541,2.2307,0.1182,1633
272384,0.2352,1.2352,2.2159,0.1116,1658
274432,0.2323,1.2323,2.2510,0.1258,1662
276480,0.2557,1.2557,2.2872,0.1018,1631
278528,0.2256,1.2256,2.2441,0.1203,1671
280576,0.2549,1.2549,2.1703,0.1232,1632
282624,0.2337,1.2337,2.2427,0.1127,1660
284672,0.2564,1.2564,2.2441,0.1086,1630
286720,0.2526,1.2526,2.1882,0.1180,1635
288768,0.2435,1.2435,2.2794,0.1075,1647
290816,0.2360,1.2360,2.2919,0.1135,1657
292864,0.2642,1.2642,2.1929,0.1037,1620
294912,0.2480,1.2480,2.2044,0.1182,1641
296960,0.2435,1.2435,2.2019,0.1038,1647
299008,0.2480,1.2480,2.2428,0.1140,1641
301056,0.2397,1.2397,2.2448,0.1120,1652
