timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0069,1.0069,1.8798,0.1303,2034
4096,0.0094,1.0094,1.9256,0.1198,2029
6144,0.0074,1.0074,1.9670,0.1230,2033
8192,0.0084,1.0084,2.1125,0.1384,2031
10240,0.0084,1.0084,2.2678,0.1384,2031
12288,0.0297,1.0297,2.7546,0.1554,1989
14336,0.0455,1.0455,3.0776,0.1645,1958
16384,0.0887,1.0887,3.4220,0.1759,1882
18432,0.0830,1.0830,3.5457,0.1824,1891
20480,0.1034,1.1034,3.5145,0.1794,1856
22528,0.1088,1.1088,3.4712,0.1705,1847
24576,0.1204,1.1204,3.4475,0.1745,1828
26624,0.1259,1.1259,3.3694,0.1770,1819
28672,0.1265,1.1265,3.3478,0.1832,1818
30720,0.1334,1.1334,3.1847,0.1621,1807
32768,0.1441,1.1441,3.1845,0.1810,1790
34816,0.1353,1.1353,3.1758,0.1480,1804
36864,0.1327,1.1327,3.0695,0.1681,1808
38912,0.1359,1.1359,3.0555,0.1431,1803
40960,0.1512,1.1512,3.0287,0.1372,1779
43008,0.1597,1.1597,2.8891,0.1410,1766
45056,0.1577,1.1577,2.9201,0.1532,1769
47104,0.1603,1.1603,2.8225,0.1535,1765
49152,0.1630,1.1630,2.8172,0.1380,1761
51200,0.1597,1.1597,2.7520,0.1399,1766
53248,0.1750,1.1750,2.7542,0.1331,1743
55296,0.1597,1.1597,2.7336,0.1631,1766
57344,0.1771,1.1771,2.6356,0.1231,1739
59392,0.1934,1.1934,2.5929,0.1369,1717
61440,0.1651,1.1651,2.6670,0.1298,1757
63488,0.1762,1.1762,2.6472,0.1251,1742
65536,0.1818,1.1818,2.5696,0.1241,1733
67584,0.1538,1.1538,2.5283,0.1324,1775
69632,0.1790,1.1790,2.5176,0.1382,1737
71680,0.1872,1.1872,2.6186,0.1322,1725
73728,0.1852,1.1852,2.5835,0.1204,1728
75776,0.1743,1.1743,2.5006,0.1279,1744
77824,0.1991,1.1991,2.5257,0.1259,1708
79872,0.1886,1.1886,2.4978,0.1178,1723
81920,0.2026,1.2026,2.4745,0.1333,1703
83968,0.1977,1.1977,2.5432,0.1164,1710
86016,0.2006,1.2006,2.4252,0.1114,1705
88064,0.1858,1.1858,2.4000,0.1123,1728
90112,0.1998,1.1998,2.4596,0.1201,1707
92160,0.2176,1.2176,2.3986,0.1201,1682
94208,0.1935,1.1935,2.4855,0.1270,1716
96256,0.1914,1.1914,2.5211,0.1361,1719
98304,0.1977,1.1977,2.4231,0.1205,1710
100352,0.2034,1.2034,2.4632,0.1335,1701
102400,0.1892,1.1892,2.4480,0.1300,1723
104448,0.1942,1.1942,2.3812,0.1254,1715
106496,0.2041,1.2041,2.4633,0.1324,1700
108544,0.1858,1.1858,2.4060,0.1221,1728
110592,0.2054,1.2054,2.4238,0.1366,1699
112640,0.2019,1.2019,2.3819,0.1232,1704
114688,0.1943,1.1943,2.4035,0.1441,1714
116736,0.1942,1.1942,2.4271,0.1190,1715
118784,0.2053,1.2053,2.3734,0.1247,1700
120832,0.2192,1.2192,2.3488,0.1215,1679
122880,0.2124,1.2124,2.3315,0.1272,1690
124928,0.2005,1.2005,2.3583,0.1401,1706
126976,0.2176,1.2176,2.3664,0.1350,1682
129024,0.2033,1.2033,2.3609,0.1187,1702
131072,0.2162,1.2162,2.3893,0.1057,1684
133120,0.2192,1.2192,2.3277,0.1138,1679
135168,0.2117,1.2117,2.3278,0.1159,1691
137216,0.1991,1.1991,2.3159,0.1294,1708
139264,0.1963,1.1963,2.3500,0.1116,1712
141312,0.2343,1.2337,2.3417,0.1030,1660
143360,0.2169,1.2169,2.3389,0.1040,1683
145408,0.2169,1.2169,2.3119,0.1182,1683
147456,0.2111,1.2111,2.3237,0.1271,1691
149504,0.2360,1.2360,2.2792,0.1237,1657
151552,0.2236,1.2236,2.3278,0.1130,1673
153600,0.1837,1.1837,2.2627,0.1092,1731
155648,0.2131,1.2126,2.2943,0.1143,1689
157696,0.2234,1.2234,2.3571,0.1213,1674
159744,0.2183,1.2183,2.3256,0.1160,1681
161792,0.2083,1.2083,2.3168,0.1233,1695
163840,0.2162,1.2162,2.2517,0.1259,1684
165888,0.2241,1.2241,2.2644,0.1118,1673
167936,0.2263,1.2263,2.2804,0.1096,1670
169984,0.2330,1.2330,2.2092,0.1180,1661
172032,0.2278,1.2278,2.3050,0.1223,1668
174080,0.2345,1.2345,2.2437,0.1230,1659
176128,0.2255,1.2249,2.2624,0.1136,1672
178176,0.2220,1.2220,2.2527,0.1223,1676
180224,0.2459,1.2459,2.2535,0.1175,1643
182272,0.2277,1.2277,2.2458,0.1222,1669
184320,0.2286,1.2286,2.2336,0.1284,1667
186368,0.2250,1.2250,2.1888,0.1233,1671
188416,0.2277,1.2277,2.2833,0.1162,1669
190464,0.2361,1.2361,2.2123,0.1220,1656
192512,0.2509,1.2509,2.1448,0.1062,1638
194560,0.2241,1.2241,2.1768,0.1261,1673
196608,0.2300,1.2300,2.1484,0.1249,1665
198656,0.2397,1.2397,2.1624,0.1138,1652
200704,0.2241,1.2241,2.2062,0.1333,1673
202752,0.2390,1.2390,2.1555,0.1149,1653
204800,0.2412,1.2412,2.1759,0.1358,1650
206848,0.2293,1.2293,2.1104,0.1381,1666
208896,0.2480,1.2480,2.1518,0.1121,1641
210944,0.2382,1.2382,2.1315,0.1245,1654
212992,0.2412,1.2412,2.1620,0.1315,1650
215040,0.2323,1.2323,2.0788,0.1047,1662
217088,0.2706,1.2706,2.1303,0.1086,1611
219136,0.2625,1.2625,2.1990,0.1158,1623
221184,0.2634,1.2634,2.0557,0.1178,1621
223232,0.2642,1.2642,2.1316,0.1123,1620
225280,0.2534,1.2534,2.0537,0.1346,1634
227328,0.2557,1.2557,2.0497,0.1171,1631
229376,0.2549,1.2549,2.1012,0.1109,1632
231424,0.2505,1.2505,2.1189,0.1167,1637
233472,0.2673,1.2673,2.0579,0.1281,1616
235520,0.2642,1.2642,2.1088,0.1117,1620
237568,0.2396,1.2396,2.0624,0.1186,1653
239616,0.2768,1.2768,2.0800,0.1147,1604
241664,0.2752,1.2752,2.0373,0.1208,1606
243712,0.2665,1.2665,2.0766,0.1231,1617
245760,0.2465,1.2465,2.0311,0.1205,1643
247808,0.2897,1.2897,2.1196,0.1121,1588
249856,0.2673,1.2673,1.9773,0.1188,1616
251904,0.2564,1.2564,2.0431,0.1196,1630
253952,0.2927,1.2927,2.0262,0.1163,1582
256000,0.2771,1.2771,1.9653,0.1177,1606
258048,0.2705,1.2705,2.0016,0.1141,1612
260096,0.2619,1.2619,2.0045,0.1245,1623
262144,0.2832,1.2832,2.0218,0.1266,1596
264192,0.2705,1.2705,1.9846,0.1284,1612
266240,0.2881,1.2881,1.9243,0.1113,1590
268288,0.2564,1.2564,1.9325,0.1209,1630
270336,0.2800,1.2800,1.9293,0.1119,1600
272384,0.2784,1.2784,1.9448,0.1142,1602
274432,0.2848,1.2848,1.9424,0.1261,1594
276480,0.2744,1.2744,1.9520,0.1108,1607
278528,0.2840,1.2840,1.8805,0.1298,1595
280576,0.3047,1.3047,1.8459,0.1198,1569
282624,0.2927,1.2927,1.8754,0.1199,1585
284672,0.2962,1.2962,1.9285,0.1139,1580
286720,0.3053,1.3053,1.9321,0.1262,1569
288768,0.2864,1.2864,1.9156,0.1137,1592
290816,0.3005,1.3005,1.9410,0.1175,1574
292864,0.2927,1.2927,1.9058,0.1218,1585
294912,0.3299,1.3299,1.9059,0.1162,1540
296960,0.2931,1.2931,1.8243,0.0992,1583
299008,0.3204,1.3204,1.8312,0.1070,1551
301056,0.3288,1.3288,1.9090,0.1122,1542
303104,0.3036,1.3036,1.8444,0.1050,1571
305152,0.2802,1.2802,1.9102,0.1032,1599
307200,0.2985,1.2985,1.8206,0.1179,1578
309248,0.3095,1.3095,1.8160,0.1157,1564
311296,0.3154,1.3154,1.8155,0.1034,1557
313344,0.3113,1.3113,1.7854,0.1185,1561
315392,0.3160,1.3160,1.8706,0.1079,1557
317440,0.3154,1.3154,1.8511,0.1227,1557
319488,0.3162,1.3162,1.8067,0.1099,1556
