timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0054,1.0054,1.8829,0.1257,2037
4096,0.0079,1.0079,1.8450,0.1299,2032
6144,0.0034,1.0034,1.9106,0.1240,2041
8192,0.0054,1.0054,2.0749,0.1316,2037
10240,0.0089,1.0089,2.2264,0.1409,2030
12288,0.0114,1.0114,2.6114,0.1590,2025
14336,0.0184,1.0184,3.2447,0.1711,2011
16384,0.0407,1.0407,3.3487,0.1372,1968
18432,0.0524,1.0524,3.8932,0.1763,1946
20480,0.0611,1.0611,4.0066,0.1876,1930
22528,0.0639,1.0639,4.0229,0.1844,1925
24576,0.0830,1.0830,4.0911,0.1872,1891
26624,0.0882,1.0882,4.0442,0.2040,1882
28672,0.0923,1.0923,3.8869,0.1904,1875
30720,0.1130,1.1130,3.8865,0.2054,1840
32768,0.1029,1.1029,3.9418,0.1890,1857
34816,0.1064,1.1064,3.8669,0.1939,1851
36864,0.1315,1.1315,3.8037,0.1840,1810
38912,0.1397,1.1397,3.8046,0.1758,1797
40960,0.1403,1.1403,3.7346,0.1821,1796
43008,0.1371,1.1371,3.7043,0.1877,1801
45056,0.1302,1.1302,3.6386,0.1959,1812
47104,0.1485,1.1480,3.7015,0.1788,1784
49152,0.1532,1.1532,3.5881,0.1644,1776
51200,0.1365,1.1365,3.5616,0.1915,1802
53248,0.1551,1.1551,3.4522,0.1737,1773
55296,0.1756,1.1750,3.5242,0.1681,1743
57344,0.1643,1.1643,3.4971,0.1717,1759
59392,0.1676,1.1676,3.4017,0.1568,1754
61440,0.1467,1.1467,3.4234,0.1562,1786
63488,0.1784,1.1784,3.3228,0.1554,1738
65536,0.1524,1.1519,3.3181,0.1654,1778
67584,0.1716,1.1716,3.3778,0.1733,1748
69632,0.1824,1.1824,3.2076,0.1617,1732
71680,0.1630,1.1630,3.2615,0.1550,1761
73728,0.1852,1.1852,3.3278,0.1661,1728
75776,0.1819,1.1819,3.2554,0.1617,1732
77824,0.1681,1.1675,3.2459,0.1561,1755
79872,0.1872,1.1872,3.1808,0.1513,1725
81920,0.1956,1.1956,3.2113,0.1541,1713
83968,0.1757,1.1757,3.1430,0.1401,1742
86016,0.1998,1.1998,3.1639,0.1511,1707
88064,0.1878,1.1872,3.1537,0.1577,1725
90112,0.1950,1.1950,3.1842,0.1424,1713
92160,0.1871,1.1871,3.1262,0.1495,1726
94208,0.1617,1.1617,3.1571,0.1583,1763
96256,0.1970,1.1970,3.1734,0.1654,1711
98304,0.1763,1.1763,3.0578,0.1511,1741
100352,0.1956,1.1956,3.1350,0.1658,1713
102400,0.1770,1.1770,3.0349,0.1575,1740
104448,0.2083,1.2083,3.0715,0.1416,1695
106496,0.1991,1.1991,3.0171,0.1499,1708
108544,0.1977,1.1977,3.0359,0.1567,1710
110592,0.1859,1.1859,3.0533,0.1390,1727
112640,0.1970,1.1970,2.9825,0.1397,1711
114688,0.2061,1.2061,2.9397,0.1425,1698
116736,0.1907,1.1907,2.9504,0.1500,1720
118784,0.1998,1.1998,3.0388,0.1330,1707
120832,0.2118,1.2118,2.8981,0.1491,1690
122880,0.2090,1.2090,2.9936,0.1523,1694
124928,0.2019,1.2019,3.0571,0.1538,1704
126976,0.1985,1.1985,3.0067,0.1552,1708
129024,0.2081,1.2081,3.0156,0.1386,1696
131072,0.2236,1.2236,2.9666,0.1435,1673
133120,0.2039,1.2039,3.0028,0.1316,1702
135168,0.2104,1.2104,2.9389,0.1472,1692
137216,0.2067,1.2061,3.0194,0.1519,1698
139264,0.2190,1.2190,2.9564,0.1387,1680
141312,0.2198,1.2198,2.9935,0.1465,1679
143360,0.2190,1.2190,2.9929,0.1470,1680
145408,0.1977,1.1977,2.9135,0.1404,1710
147456,0.2090,1.2090,2.9231,0.1346,1694
149504,0.2068,1.2068,2.9224,0.1514,1697
151552,0.1949,1.1949,2.9519,0.1459,1714
153600,0.1963,1.1963,2.9512,0.1396,1712
155648,0.2098,1.2098,2.9938,0.1472,1692
157696,0.2250,1.2250,2.9592,0.1293,1671
159744,0.2130,1.2130,2.9908,0.1414,1690
161792,0.2300,1.2300,2.8471,0.1502,1665
163840,0.2147,1.2147,2.8549,0.1323,1686
165888,0.2256,1.2256,2.8743,0.1448,1671
167936,0.2397,1.2397,2.9145,0.1495,1652
169984,0.2411,1.2405,2.8769,0.1357,1651
172032,0.2287,1.2287,2.9117,0.1345,1666
174080,0.2061,1.2061,2.9361,0.1413,1698
176128,0.2450,1.2450,2.9220,0.1295,1645
178176,0.2262,1.2262,2.7890,0.1466,1671
180224,0.2250,1.2250,2.8257,0.1412,1671
182272,0.2074,1.2074,2.8483,0.1373,1697
184320,0.2330,1.2330,2.8165,0.1553,1661
186368,0.2399,1.2399,2.8407,0.1314,1651
188416,0.2278,1.2278,2.8673,0.1433,1668
190464,0.2358,1.2358,2.9146,0.1363,1658
192512,0.2315,1.2315,2.8439,0.1461,1663
194560,0.2263,1.2263,2.8701,0.1311,1670
196608,0.2183,1.2183,2.7584,0.1463,1681
198656,0.2091,1.2091,2.8486,0.1494,1693
200704,0.2411,1.2411,2.8195,0.1532,1651
202752,0.2286,1.2286,2.8568,0.1632,1667
204800,0.2236,1.2236,2.8051,0.1518,1673
206848,0.2321,1.2321,2.8626,0.1551,1663
208896,0.2457,1.2457,2.7496,0.1582,1644
210944,0.2169,1.2169,2.8313,0.1450,1683
212992,0.2271,1.2271,2.8517,0.1390,1669
215040,0.2420,1.2414,2.7807,0.1292,1649
217088,0.2594,1.2594,2.8148,0.1414,1627
219136,0.2467,1.2467,2.8314,0.1468,1642
221184,0.2526,1.2526,2.8054,0.1486,1635
223232,0.2366,1.2366,2.7327,0.1533,1657
225280,0.2442,1.2442,2.8632,0.1209,1646
227328,0.2427,1.2427,2.7734,0.1347,1648
229376,0.2330,1.2330,2.8394,0.1475,1661
231424,0.2558,1.2558,2.8147,0.1454,1630
233472,0.2314,1.2314,2.7714,0.1478,1664
