timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0039,1.0039,1.9892,0.0863,2040
4096,0.0044,1.0044,2.0311,0.0893,2039
6144,0.0069,1.0069,2.1224,0.0949,2034
8192,0.0054,1.0054,2.3633,0.0967,2037
10240,0.0099,1.0099,2.6883,0.1144,2028
12288,0.0144,1.0144,3.1614,0.1298,2019
14336,0.0194,1.0194,3.6309,0.1444,2009
16384,0.0261,1.0261,3.7946,0.1618,1996
18432,0.0271,1.0271,4.0288,0.1665,1994
20480,0.0302,1.0302,3.9295,0.1801,1988
22528,0.0250,1.0250,4.0053,0.1682,1998
24576,0.0286,1.0286,4.0791,0.1823,1991
26624,0.0276,1.0276,4.0868,0.1927,1993
28672,0.0328,1.0328,4.0967,0.1815,1983
30720,0.0307,1.0307,4.2015,0.1742,1986
32768,0.0380,1.0380,4.0936,0.1727,1974
34816,0.0302,1.0302,4.0817,0.1816,1988
36864,0.0302,1.0302,4.0699,0.1841,1988
38912,0.0359,1.0359,4.0759,0.1770,1977
40960,0.0286,1.0286,4.1600,0.1602,1991
43008,0.0328,1.0328,4.1244,0.1775,1983
45056,0.0417,1.0417,4.1304,0.1684,1966
47104,0.0291,1.0291,4.1384,0.1864,1990
49152,0.0266,1.0266,4.1118,0.1875,1995
51200,0.0333,1.0333,4.1533,0.1887,1982
53248,0.0291,1.0291,4.0880,0.1854,1990
55296,0.0338,1.0338,4.1531,0.1984,1981
57344,0.0302,1.0302,4.1741,0.1916,1988
59392,0.0307,1.0307,4.1788,0.1842,1987
61440,0.0343,1.0343,4.0770,0.1854,1980
63488,0.0302,1.0302,4.1780,0.1977,1988
65536,0.0354,1.0354,4.1546,0.1810,1978
67584,0.0323,1.0323,4.1911,0.1881,1983
69632,0.0302,1.0302,4.1890,0.1860,1989
71680,0.0281,1.0281,4.1632,0.1591,1992
73728,0.0328,1.0328,4.2522,0.1684,1983
75776,0.0291,1.0291,4.2034,0.1925,1990
77824,0.0312,1.0312,4.1861,0.1843,1986
79872,0.0323,1.0323,4.1683,0.1830,1984
81920,0.0307,1.0307,4.2015,0.1903,1986
83968,0.0364,1.0364,4.1425,0.1927,1977
86016,0.0271,1.0271,4.1901,0.1856,1994
88064,0.0312,1.0312,4.2299,0.1838,1986
90112,0.0412,1.0412,4.2478,0.1698,1967
92160,0.0391,1.0391,4.1832,0.1887,1971
94208,0.0391,1.0391,4.1317,0.1994,1971
96256,0.0433,1.0433,4.2154,0.1824,1963
98304,0.0470,1.0470,4.1950,0.1881,1956
100352,0.0422,1.0422,4.2307,0.1852,1965
102400,0.0396,1.0396,4.2380,0.1832,1970
104448,0.0412,1.0412,4.1878,0.1917,1967
106496,0.0354,1.0354,4.1881,0.1790,1978
108544,0.0380,1.0380,4.2488,0.1875,1973
110592,0.0354,1.0354,4.2274,0.1780,1978
112640,0.0401,1.0401,4.2383,0.1905,1969
114688,0.0370,1.0370,4.2063,0.1863,1975
116736,0.0407,1.0407,4.2182,0.1824,1968
118784,0.0444,1.0444,4.2818,0.1883,1960
120832,0.0302,1.0302,4.2417,0.1785,1989
122880,0.0422,1.0422,4.2653,0.2081,1965
124928,0.0312,1.0312,4.2076,0.1732,1986
126976,0.0338,1.0338,4.2693,0.1903,1981
129024,0.0375,1.0375,4.2417,0.2052,1974
131072,0.0460,1.0460,4.3308,0.1839,1958
133120,0.0396,1.0396,4.2023,0.2041,1970
135168,0.0417,1.0417,4.2704,0.1948,1966
