timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0079,1.0079,1.8250,0.1609,2032
4096,0.0054,1.0054,1.8785,0.1723,2037
6144,0.0044,1.0044,1.8227,0.1515,2039
8192,0.0089,1.0089,1.8416,0.1714,2030
10240,0.0020,1.0020,1.9139,0.1580,2044
12288,0.0049,1.0049,1.9048,0.1516,2038
14336,0.0084,1.0084,1.9340,0.1497,2031
16384,0.0099,1.0099,2.4332,0.1834,2028
18432,0.2473,1.2473,2.8810,0.0713,1642
20480,0.5272,1.5272,2.2267,0.0380,1341
22528,0.8147,1.8147,2.0850,0.0443,1128
24576,0.8893,1.8893,2.0647,0.0609,1084
26624,0.8893,1.8893,2.0704,0.0637,1084
28672,0.7802,1.7802,2.1499,0.0652,1151
30720,0.7631,1.7631,2.2871,0.0861,1161
32768,0.7958,1.7958,2.2502,0.0833,1141
34816,0.8441,1.8441,2.2351,0.0937,1110
36864,0.8627,1.8627,2.2485,0.0718,1100
38912,0.8728,1.8728,2.1529,0.0842,1093
40960,0.9132,1.9132,2.1357,0.0924,1071
43008,0.9175,1.9175,2.1678,0.0694,1067
45056,0.9514,1.9514,2.1392,0.0657,1050
47104,0.9312,1.9312,2.0828,0.0669,1061
49152,0.9293,1.9293,2.1420,0.0688,1061
50000,0.9584,1.9584,2.0766,0.0808,433
