timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0980,10.0000,2.1711,0.7059,204
4096,0.0293,10.0000,1.8961,0.7561,205
6144,0.0000,10.0000,0.4639,0.2244,205
8192,0.0000,10.0000,0.3068,0.1073,205
10240,0.0049,10.0000,0.6166,0.2341,205
12288,0.0098,10.0000,1.1176,0.5980,204
14336,0.0293,10.0000,1.2868,0.6976,205
16384,0.0439,10.0000,2.0449,0.7171,205
18432,0.0780,10.0000,3.1024,0.7268,205
20480,0.0927,10.0000,3.5112,0.6878,205
22528,0.1275,10.0000,3.8578,0.6765,204
24576,0.1561,10.0000,4.0254,0.7366,205
26624,0.1659,10.0000,4.4863,0.6732,205
28672,0.1902,10.0000,4.5215,0.7463,205
30720,0.1610,10.0000,4.5083,0.6683,205
32768,0.2304,10.0000,4.6691,0.7745,204
34816,0.1951,10.0000,4.8927,0.8683,205
36864,0.2098,10.0000,4.8868,0.8488,205
38912,0.2293,10.0000,4.8698,0.8634,205
40960,0.1659,10.0000,5.0576,0.8195,205
43008,0.2059,10.0000,5.1784,0.8480,204
45056,0.2341,10.0000,4.6341,0.8537,205
47104,0.1805,10.0000,4.1990,0.8878,205
49152,0.1220,10.0000,4.2332,0.8537,205
50000,0.1412,10.0000,4.2294,0.8941,85
