timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.1814,10.0000,1.3969,0.3137,204
4096,0.1716,10.0000,1.2972,0.2941,204
6144,0.1667,10.0000,1.6178,0.2892,204
8192,0.2010,10.0000,1.3397,0.2990,204
10240,0.2308,10.0000,1.1021,0.2885,208
12288,0.2353,10.0000,1.4046,0.2892,204
14336,0.2206,10.0000,1.4259,0.3088,204
16384,0.2353,10.0000,1.3239,0.2941,204
18432,0.1863,10.0000,1.3943,0.2745,204
20480,0.2212,10.0000,1.5164,0.2740,208
22528,0.2353,10.0000,1.1824,0.2745,204
24576,0.2353,10.0000,1.5689,0.2745,204
26624,0.1863,10.0000,1.4653,0.3137,204
28672,0.2549,10.0000,1.3321,0.3039,204
30720,0.1875,10.0000,1.2608,0.2885,208
32768,0.2108,10.0000,1.3756,0.2892,204
34816,0.2206,10.0000,1.2065,0.2843,204
36864,0.2255,10.0000,1.0711,0.2500,204
38912,0.2353,10.0000,1.1587,0.2696,204
40960,0.2115,10.0000,1.2911,0.2837,208
43008,0.2598,10.0000,1.2727,0.2598,204
45056,0.1912,10.0000,1.0881,0.2647,204
47104,0.3529,10.0000,1.1892,0.3039,204
49152,0.3088,10.0000,1.1292,0.2745,204
51200,0.2260,10.0000,1.2455,0.2837,208
53248,0.2843,10.0000,1.1479,0.2451,204
55296,0.3039,10.0000,1.1930,0.2745,204
57344,0.2549,10.0000,1.1705,0.2794,204
59392,0.3725,10.0000,1.0811,0.2745,204
61440,0.3317,10.0000,1.1023,0.2740,208
63488,0.3676,10.0000,1.3600,0.2353,204
65536,0.4069,10.0000,1.2349,0.2696,204
67584,0.5637,10.0000,1.2621,0.2843,204
69632,0.5049,10.0000,1.1024,0.2500,204
71680,0.4327,10.0000,1.3753,0.2548,208
73728,0.4755,10.0000,1.2540,0.2696,204
75776,0.4804,10.0000,1.3710,0.2500,204
77824,0.6275,10.0000,1.3307,0.2745,204
79872,0.6814,10.0000,1.4646,0.2745,204
81920,0.7308,10.0000,1.4817,0.2837,208
83968,0.6716,10.0000,1.6472,0.2696,204
86016,0.8529,10.0000,1.6753,0.2990,204
88064,0.7745,10.0000,1.4997,0.2598,204
90112,0.7892,10.0000,1.5094,0.2892,204
92160,0.8462,10.0000,1.6151,0.2837,208
94208,0.9951,10.0000,1.5596,0.2696,204
96256,0.9265,10.0000,1.6893,0.2794,204
98304,0.8627,10.0000,1.8480,0.3039,204
100352,0.8480,10.0000,1.5517,0.3088,204
102400,0.9567,10.0000,1.4814,0.2837,208
104448,0.8676,10.0000,1.8479,0.2990,204
106496,0.9559,10.0000,1.6333,0.2843,204
108544,1.0147,10.0000,1.5753,0.2745,204
110592,1.1373,10.0000,1.8645,0.2794,204
112640,1.0721,10.0000,1.7273,0.2740,208
114688,1.0686,10.0000,1.7583,0.2990,204
116736,1.0686,10.0000,1.5276,0.2696,204
118784,1.1912,10.0000,1.8669,0.2794,204
120832,1.1471,10.0000,1.5979,0.2794,204
122880,1.0192,10.0000,1.8484,0.2837,208
