timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.8235,10.0000,2.2961,0.6225,204
4096,1.6732,10.0000,3.5478,0.7415,205
6144,1.8439,10.0000,2.8590,0.7317,205
8192,1.8488,10.0000,3.0683,0.7317,205
10240,2.1171,10.0000,3.1263,0.7707,205
12288,2.0294,10.0000,3.2039,0.7549,204
14336,2.1561,10.0000,3.3332,0.7707,205
16384,2.0634,10.0000,3.4239,0.7854,205
18432,2.0390,10.0000,3.2941,0.7610,205
20480,2.1902,10.0000,3.2093,0.7122,205
22528,2.1422,10.0000,3.1789,0.7353,204
24576,2.1610,10.0000,3.1941,0.7707,205
26624,2.1073,10.0000,3.1771,0.7854,205
28672,2.0244,10.0000,3.1473,0.6976,205
30720,2.0341,10.0000,3.0220,0.7122,205
32768,2.0637,10.0000,3.1368,0.7696,204
34816,2.1073,10.0000,3.2268,0.7463,205
36864,1.9707,10.0000,3.2400,0.7659,205
38912,2.0927,10.0000,3.1663,0.7561,205
40960,2.1463,10.0000,3.1234,0.7854,205
43008,2.1373,10.0000,3.1431,0.7353,204
45056,2.0488,10.0000,3.2659,0.7805,205
47104,2.1805,10.0000,3.2176,0.7707,205
49152,2.0927,10.0000,3.1756,0.7366,205
50000,1.9765,10.0000,3.3682,0.7294,85
