timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.9412,10.0000,2.6543,0.3137,204
4096,1.6373,10.0000,3.4951,0.3333,204
6144,2.3578,10.0000,3.7534,0.3676,204
8192,2.3333,10.0000,3.7891,0.3725,204
10240,2.5817,10.0000,3.8154,0.3365,208
12288,2.5490,10.0000,3.5299,0.3971,204
14336,2.5392,10.0000,3.6371,0.3775,204
16384,2.5539,10.0000,3.7230,0.3922,204
18432,2.4902,10.0000,3.4738,0.3480,204
20480,2.5192,10.0000,3.5217,0.3798,208
22528,2.4902,10.0000,3.5431,0.3873,204
24576,2.5098,10.0000,3.4938,0.3627,204
26624,2.5686,10.0000,3.5400,0.3333,204
28672,2.7451,10.0000,3.4107,0.3725,204
30720,2.5385,10.0000,3.4919,0.4038,208
32768,2.7059,10.0000,3.6271,0.3578,204
34816,2.7647,10.0000,3.6239,0.3627,204
36864,2.7500,10.0000,3.6306,0.3627,204
38912,2.8529,10.0000,3.5456,0.3873,204
40960,2.6683,10.0000,3.5534,0.3990,208
43008,2.6176,10.0000,3.6787,0.3922,204
45056,2.7500,10.0000,3.6011,0.3725,204
47104,2.7206,10.0000,3.6620,0.3529,204
49152,2.8824,10.0000,3.5453,0.3676,204
50000,2.6932,10.0000,3.4257,0.3295,88
