timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,1.0490,10.0000,2.2348,0.6471,204
4096,2.1805,10.0000,3.0351,0.7610,205
6144,2.2293,10.0000,2.8420,0.7463,205
8192,2.2293,10.0000,2.9341,0.7366,205
10240,2.1317,10.0000,2.8902,0.7317,205
12288,2.1422,10.0000,2.9431,0.7549,204
14336,2.1707,10.0000,2.9839,0.7805,205
16384,2.4244,10.0000,2.8502,0.7561,205
18432,2.2439,10.0000,2.9854,0.8488,205
20480,2.3561,10.0000,2.9312,0.7756,205
22528,2.3137,10.0000,3.0275,0.7451,204
24576,2.2585,10.0000,2.9444,0.7805,205
26624,2.3610,10.0000,2.9205,0.7415,205
28672,2.4146,10.0000,2.9200,0.7415,205
30720,2.5073,10.0000,2.9678,0.7122,205
32768,2.3284,10.0000,2.9118,0.7843,204
34816,2.4293,10.0000,2.9780,0.7805,205
36864,2.4585,10.0000,3.0137,0.7512,205
38912,2.3463,10.0000,2.8146,0.7707,205
40960,2.3659,10.0000,2.9107,0.7854,205
43008,2.3676,10.0000,2.9725,0.7990,204
45056,2.3707,10.0000,2.9522,0.7463,205
47104,2.4390,10.0000,2.9034,0.7463,205
49152,2.4927,10.0000,2.9810,0.7512,205
50000,2.2353,10.0000,2.9800,0.7647,85
