timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0302,1.0302,3.0244,0.1439,1988
4096,0.0573,1.0573,4.0287,0.1575,1937
6144,0.0617,1.0617,4.3681,0.1545,1929
8192,0.0678,1.0678,4.4282,0.1429,1918
10240,0.0683,1.0683,4.3712,0.1638,1917
12288,0.0672,1.0672,4.4279,0.1470,1919
14336,0.0535,1.0535,4.4518,0.1656,1944
16384,0.0628,1.0628,4.4531,0.1557,1927
18432,0.0672,1.0672,4.4940,0.1662,1919
20480,0.0628,1.0628,4.5340,0.1733,1927
22528,0.0723,1.0723,4.4259,0.1466,1910
24576,0.0600,1.0600,4.4632,0.1718,1932
26624,0.0617,1.0617,4.4370,0.1607,1929
28672,0.0508,1.0508,4.5058,0.1657,1949
30720,0.0519,1.0519,4.3980,0.1674,1947
32768,0.0617,1.0617,4.4107,0.1441,1929
34816,0.0551,1.0551,4.5018,0.1592,1941
36864,0.0672,1.0672,4.4574,0.1631,1919
38912,0.0573,1.0573,4.4682,0.1606,1937
40960,0.0644,1.0644,4.4677,0.1668,1924
43008,0.0661,1.0661,4.4195,0.1780,1921
45056,0.0589,1.0589,4.4909,0.1494,1934
47104,0.0562,1.0562,4.4757,0.1630,1939
49152,0.0661,1.0661,4.4859,0.1577,1921
50000,0.0613,1.0613,4.5396,0.1589,799
