timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.0039,1.0039,1.9657,0.0907,2040
4096,0.0059,1.0059,1.9629,0.0791,2036
6144,0.0054,1.0054,1.9143,0.0839,2037
8192,0.0039,1.0039,1.9600,0.0701,2040
10240,0.0039,1.0039,1.8963,0.0838,2040
12288,0.0059,1.0059,1.8872,0.0810,2036
14336,0.0084,1.0084,1.9934,0.0778,2031
16384,0.0124,1.0124,2.2218,0.1048,2023
18432,0.0119,1.0119,2.7164,0.1003,2024
20480,0.0144,1.0144,3.0758,0.1248,2019
22528,0.0214,1.0214,3.4960,0.1481,2005
24576,0.0266,1.0266,3.5602,0.1614,1995
26624,0.0194,1.0194,3.4131,0.1618,2009
28672,0.0189,1.0189,3.4236,0.1562,2010
30720,0.0225,1.0225,3.4686,0.1508,2003
32768,0.0204,1.0204,3.4436,0.1574,2007
34816,0.0199,1.0199,3.4578,0.1529,2008
36864,0.0235,1.0235,3.5031,0.1719,2001
38912,0.0230,1.0230,3.4379,0.1683,2002
40960,0.0235,1.0235,3.4928,0.1609,2001
43008,0.0189,1.0189,3.4580,0.1736,2010
45056,0.0194,1.0194,3.5271,0.1548,2009
47104,0.0230,1.0230,3.5455,0.1653,2002
49152,0.0220,1.0220,3.5124,0.1653,2003
50000,0.0303,1.0303,3.4660,0.1626,824
