timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.2170,1.2170,1.2959,0.0969,1682
4096,0.4319,1.4319,1.4439,0.1502,1431
6144,0.4124,1.4124,1.4045,0.1269,1450
8192,0.3196,1.3196,1.3516,0.1198,1552
10240,0.3745,1.3745,1.3304,0.1356,1490
12288,0.3869,1.3869,1.4102,0.1423,1476
14336,0.4379,1.4379,1.5508,0.1586,1425
16384,0.5148,1.5148,1.6327,0.1834,1352
18432,0.5606,1.5606,1.6309,0.1526,1311
20480,0.5601,1.5601,1.6261,0.1636,1314
22528,0.5905,1.5905,1.6894,0.1639,1287
24576,0.6223,1.6223,1.6872,0.1971,1263
26624,0.6093,1.6093,1.7057,0.1950,1272
28672,0.5871,1.5871,1.7008,0.1851,1291
30720,0.6840,1.6840,1.7410,0.1901,1215
32768,0.6707,1.6707,1.7452,0.2021,1227
34816,0.6746,1.6746,1.6960,0.1905,1223
36864,0.6968,1.6968,1.7305,0.1997,1207
38912,0.6637,1.6637,1.7467,0.1836,1231
40960,0.7631,1.7631,1.6946,0.2093,1161
43008,0.7664,1.7664,1.7398,0.2052,1160
45056,0.7631,1.7631,1.7191,0.2102,1161
47104,0.7364,1.7364,1.7678,0.2093,1180
49152,0.7474,1.7474,1.7522,0.2108,1172
51200,0.7554,1.7554,1.7682,0.2043,1165
53248,0.8102,1.8102,1.7527,0.2277,1133
55296,0.8375,1.8375,1.7354,0.2262,1114
57344,0.7623,1.7623,1.7551,0.1990,1161
59392,0.8313,1.8313,1.7734,0.2054,1120
61440,0.8318,1.8318,1.7231,0.2236,1118
63488,0.8163,1.8163,1.7284,0.2023,1127
65536,0.8534,1.8534,1.6871,0.2308,1105
67584,0.8509,1.8509,1.6832,0.2240,1107
69632,0.8401,1.8401,1.7380,0.2291,1113
71680,0.7925,1.7925,1.7818,0.1988,1142
73728,0.8450,1.8450,1.7846,0.2099,1110
75776,0.9060,1.9060,1.7276,0.2047,1075
77824,0.8530,1.8530,1.7167,0.2368,1102
79872,0.8438,1.8438,1.7872,0.2244,1114
81920,0.8814,1.8814,1.7845,0.1994,1088
83968,0.8131,1.8131,1.6881,0.2285,1129
86016,0.8695,1.8695,1.7444,0.1980,1096
88064,0.9787,1.9787,1.7285,0.2244,1034
90112,0.9017,1.9017,1.7066,0.2393,1078
92160,0.9608,1.9608,1.7698,0.2211,1045
94208,0.9636,1.9636,1.7531,0.2119,1043
96256,0.9212,1.9212,1.7695,0.2364,1066
98304,0.8500,1.8500,1.7801,0.2177,1107
100352,0.8711,1.8711,1.7543,0.2102,1094
102400,0.8752,1.8752,1.7412,0.2220,1090
104448,0.8965,1.8965,1.7547,0.2301,1082
106496,0.9293,1.9293,1.7536,0.2234,1061
108544,0.8807,1.8807,1.7145,0.2183,1090
110592,0.9149,1.9149,1.7144,0.2152,1069
112640,0.9797,1.9797,1.6839,0.2213,1035
114688,0.9366,1.9366,1.7211,0.2460,1057
116736,0.8678,1.8678,1.6919,0.2325,1097
118784,0.9673,1.9673,1.7044,0.2317,1040
120832,1.0177,2.0177,1.7178,0.2283,1016
122880,0.9431,1.9431,1.6756,0.2486,1054
124928,0.9139,1.9139,1.6548,0.2189,1069
126976,0.9017,1.9017,1.7185,0.2208,1078
129024,0.8988,1.8988,1.6844,0.2396,1077
131072,0.9787,1.9787,1.6848,0.2425,1035
133120,0.9459,1.9459,1.7409,0.2087,1054
135168,0.9961,1.9961,1.6987,0.2405,1023
137216,0.9405,1.9405,1.7116,0.2637,1058
139264,0.9449,1.9449,1.7523,0.2213,1053
141312,0.9239,1.9239,1.7463,0.2263,1065
143360,1.0138,2.0138,1.6812,0.2085,1017
145408,0.9589,1.9589,1.7316,0.2115,1045
147456,1.0029,2.0029,1.6738,0.2473,1023
149504,0.9826,1.9826,1.7423,0.2132,1032
150000,0.9920,1.9920,1.7471,0.2160,250
