timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.4600,10.0000,1.2192,0.1600,200
225280,3.8558,10.0000,1.2317,0.2115,208
4096,0.4760,10.0000,1.2264,0.1779,208
227328,3.7300,10.0000,1.3127,0.2150,200
6144,0.4900,10.0000,1.2029,0.1850,200
229376,3.5865,10.0000,1.3820,0.2115,208
8192,0.5385,10.0000,1.2723,0.1875,208
231424,3.6450,10.0000,1.2562,0.1800,200
10240,0.5048,10.0000,1.2671,0.1827,208
233472,3.6875,10.0000,1.3890,0.1731,208
12288,0.6250,10.0000,1.1915,0.1900,200
235520,3.8269,10.0000,1.2051,0.2115,208
14336,0.5433,10.0000,1.3790,0.1731,208
237568,3.7550,10.0000,1.3906,0.2100,200
16384,0.4950,10.0000,1.2503,0.1800,200
239616,3.7163,10.0000,1.4407,0.1827,208
18432,0.5288,10.0000,1.3218,0.2067,208
241664,3.6850,10.0000,1.2781,0.1600,200
20480,0.5577,10.0000,1.5391,0.2019,208
243712,3.7885,10.0000,1.4550,0.2019,208
22528,0.6900,10.0000,1.4180,0.1850,200
245760,3.9856,10.0000,1.1816,0.2163,208
24576,0.5337,10.0000,1.2707,0.2067,208
247808,3.8850,10.0000,1.4508,0.1700,200
26624,0.5750,10.0000,1.5095,0.1900,200
249856,3.8654,10.0000,1.2033,0.1923,208
28672,0.6971,10.0000,1.4075,0.2019,208
251904,3.8000,10.0000,0.9891,0.2000,200
30720,0.6346,10.0000,1.3435,0.1875,208
253952,3.8365,10.0000,1.2823,0.2163,208
32768,0.6300,10.0000,1.4858,0.1650,200
256000,3.8317,10.0000,1.2750,0.1538,208
34816,0.8125,10.0000,1.5290,0.1923,208
258048,3.9000,10.0000,1.2197,0.1800,200
36864,0.7300,10.0000,1.4662,0.1900,200
260096,3.9279,10.0000,1.0661,0.1587,208
38912,0.9327,10.0000,1.6244,0.2163,208
262144,4.0250,10.0000,1.1958,0.1700,200
40960,0.9712,10.0000,1.4446,0.1779,208
264192,3.9423,10.0000,1.2399,0.2067,208
43008,0.9650,10.0000,1.5394,0.1700,200
266240,3.9519,10.0000,1.1969,0.1971,208
45056,1.0481,10.0000,1.6185,0.1827,208
268288,4.1000,10.0000,1.1428,0.1800,200
47104,1.2950,10.0000,1.7436,0.1700,200
270336,4.0385,10.0000,1.2835,0.2067,208
49152,1.3077,10.0000,1.8572,0.2067,208
272384,3.9350,10.0000,1.0930,0.1750,200
51200,1.3365,10.0000,1.8496,0.2115,208
274432,3.7500,10.0000,1.2062,0.2019,208
53248,1.3100,10.0000,1.9543,0.2150,200
276480,3.9663,10.0000,1.2706,0.1779,208
55296,1.3894,10.0000,2.0606,0.2115,208
278528,3.8850,10.0000,1.1953,0.1950,200
57344,1.3750,10.0000,1.9850,0.1950,200
280576,3.9615,10.0000,1.1123,0.2019,208
59392,1.5000,10.0000,2.1765,0.2212,208
282624,4.0400,10.0000,1.2008,0.1950,200
61440,1.5625,10.0000,2.0674,0.2308,208
284672,3.8510,10.0000,1.0989,0.2212,208
63488,1.5100,10.0000,2.2521,0.2100,200
286720,4.2115,10.0000,1.0188,0.1875,208
65536,1.6250,10.0000,2.2440,0.1971,208
288768,3.8650,10.0000,1.1371,0.1900,200
67584,1.5950,10.0000,2.4277,0.2300,200
290816,4.2163,10.0000,1.1750,0.1587,208
69632,1.8269,10.0000,2.1567,0.2260,208
292864,3.9950,10.0000,1.2237,0.1900,200
71680,1.8029,10.0000,2.0699,0.2308,208
294912,3.9856,10.0000,1.2254,0.2019,208
73728,1.7200,10.0000,2.4462,0.1800,200
296960,4.2019,10.0000,1.3039,0.2308,208
75776,1.8750,10.0000,2.0954,0.2067,208
299008,4.0200,10.0000,1.0416,0.1850,200
77824,1.9700,10.0000,2.1212,0.2000,200
301056,4.3173,10.0000,1.0429,0.1923,208
79872,2.0577,10.0000,2.1227,0.2260,208
