timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.4600,10.0000,1.1649,0.1450,200
4096,0.5000,10.0000,1.2341,0.1971,208
6144,0.5200,10.0000,1.2532,0.1750,200
8192,0.5192,10.0000,1.4298,0.2067,208
10240,0.4567,10.0000,1.2825,0.2019,208
12288,0.5850,10.0000,1.3613,0.1800,200
14336,0.4327,10.0000,1.2508,0.1923,208
16384,0.4650,10.0000,1.1659,0.1900,200
18432,0.6635,10.0000,1.3563,0.1683,208
20480,0.5240,10.0000,1.3420,0.1635,208
22528,0.5200,10.0000,1.2395,0.1600,200
24576,0.5481,10.0000,1.3906,0.2115,208
26624,0.6400,10.0000,1.1274,0.1700,200
28672,0.6058,10.0000,1.3919,0.1538,208
30720,0.6538,10.0000,0.9889,0.1875,208
32768,0.5900,10.0000,1.5052,0.1650,200
34816,0.6394,10.0000,1.4541,0.1971,208
36864,0.5050,10.0000,1.3106,0.1950,200
38912,0.6683,10.0000,1.2715,0.1923,208
40960,0.5385,10.0000,1.2787,0.1635,208
43008,0.6300,10.0000,1.4034,0.1700,200
45056,0.6298,10.0000,1.4594,0.1875,208
47104,0.7450,10.0000,1.4878,0.1900,200
49152,0.6587,10.0000,1.4650,0.1683,208
51200,0.6923,10.0000,1.4645,0.1923,208
53248,0.6850,10.0000,1.3175,0.2000,200
55296,0.7404,10.0000,1.4486,0.1779,208
57344,0.6750,10.0000,1.3815,0.1500,200
59392,0.7019,10.0000,1.4887,0.1875,208
61440,0.7500,10.0000,1.5511,0.1875,208
63488,0.8150,10.0000,1.5825,0.2100,200
65536,0.8365,10.0000,1.5993,0.1779,208
67584,0.8600,10.0000,1.4652,0.2000,200
69632,0.9183,10.0000,1.6428,0.1779,208
71680,0.8798,10.0000,1.5263,0.1827,208
73728,0.8050,10.0000,1.7624,0.1650,200
75776,0.9567,10.0000,1.6472,0.2356,208
77824,1.0500,10.0000,1.8714,0.1950,200
79872,0.9712,10.0000,1.7725,0.2115,208
81920,0.9904,10.0000,1.9722,0.2019,208
83968,1.1100,10.0000,1.9234,0.2250,200
86016,1.2885,10.0000,2.0401,0.2067,208
88064,1.1500,10.0000,1.8967,0.2150,200
90112,1.1683,10.0000,2.0212,0.1971,208
92160,1.2981,10.0000,2.0946,0.1971,208
94208,1.2300,10.0000,2.1940,0.1800,200
96256,1.1971,10.0000,2.3845,0.2115,208
98304,1.3900,10.0000,2.3462,0.2100,200
100352,1.3413,10.0000,2.3221,0.2163,208
102400,1.4087,10.0000,1.9723,0.1923,208
104448,1.3750,10.0000,2.0759,0.2000,200
106496,1.5192,10.0000,2.3928,0.2500,208
108544,1.4350,10.0000,2.2998,0.2200,200
110592,1.4904,10.0000,2.2638,0.2260,208
112640,1.4712,10.0000,2.3957,0.2260,208
114688,1.4650,10.0000,2.4971,0.2150,200
116736,1.5529,10.0000,2.3347,0.2019,208
118784,1.6200,10.0000,2.4380,0.2250,200
120832,1.5721,10.0000,2.4013,0.2067,208
122880,1.6250,10.0000,2.5985,0.2404,208
124928,1.6350,10.0000,2.4847,0.2400,200
126976,1.7212,10.0000,2.5326,0.1923,208
129024,1.5700,10.0000,2.5357,0.2550,200
131072,1.7308,10.0000,2.2473,0.1923,208
133120,1.9087,10.0000,2.6329,0.2019,208
135168,1.8300,10.0000,2.5988,0.1850,200
137216,1.6490,10.0000,2.8030,0.2163,208
139264,1.7850,10.0000,2.8099,0.2050,200
141312,1.8173,10.0000,2.7912,0.2356,208
143360,1.8510,10.0000,2.6058,0.2212,208
145408,1.9700,10.0000,2.5672,0.2300,200
147456,2.0192,10.0000,2.6520,0.2163,208
149504,1.8200,10.0000,2.5696,0.2400,200
151552,1.8750,10.0000,2.5572,0.2404,208
153600,2.0000,10.0000,2.4249,0.1875,208
155648,2.1000,10.0000,2.6278,0.1850,200
157696,1.9567,10.0000,2.5136,0.2500,208
159744,1.8150,10.0000,2.3765,0.2250,200
161792,1.9423,10.0000,2.6167,0.2308,208
163840,2.0192,10.0000,2.5896,0.2452,208
165888,2.0800,10.0000,2.5273,0.2400,200
167936,2.2067,10.0000,2.3830,0.2596,208
169984,2.1200,10.0000,2.5330,0.2050,200
172032,2.0721,10.0000,2.2929,0.2115,208
174080,2.1875,10.0000,2.0840,0.1875,208
176128,2.2000,10.0000,2.3471,0.2600,200
178176,2.0913,10.0000,2.2366,0.1683,208
180224,2.1100,10.0000,2.3346,0.2200,200
182272,1.9808,10.0000,2.3386,0.1971,208
184320,2.1106,10.0000,2.4646,0.2115,208
186368,2.1950,10.0000,2.1623,0.1950,200
188416,2.1923,10.0000,2.2939,0.2308,208
190464,2.0650,10.0000,2.4803,0.2300,200
192512,2.2452,10.0000,2.3145,0.2019,208
194560,2.2837,10.0000,2.1915,0.2356,208
196608,2.4450,10.0000,2.2298,0.1900,200
198656,2.2692,10.0000,2.3535,0.1827,208
200000,2.4191,10.0000,2.1341,0.2353,136
