timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.5500,10.0000,1.1698,0.1750,200
4096,0.5673,10.0000,1.3674,0.1731,208
6144,0.5050,10.0000,1.4042,0.1600,200
8192,0.5865,10.0000,1.3962,0.1923,208
10240,0.6010,10.0000,1.4107,0.1538,208
12288,0.5450,10.0000,1.3497,0.1700,200
14336,0.6058,10.0000,1.3566,0.1923,208
16384,0.5950,10.0000,1.3718,0.1750,200
18432,0.5625,10.0000,1.4641,0.1538,208
20480,0.6490,10.0000,1.3567,0.1827,208
22528,0.6350,10.0000,1.4253,0.1600,200
24576,0.6587,10.0000,1.6260,0.1683,208
26624,0.7200,10.0000,1.6912,0.2050,200
28672,0.6010,10.0000,1.5265,0.1779,208
30720,0.8125,10.0000,1.5929,0.2260,208
32768,0.7850,10.0000,1.6260,0.1850,200
34816,0.8317,10.0000,1.6668,0.2260,208
36864,0.8300,10.0000,1.6760,0.1850,200
38912,1.0962,10.0000,1.8670,0.2163,208
40960,1.0481,10.0000,2.0101,0.1971,208
43008,1.1400,10.0000,1.9023,0.2100,200
45056,1.1875,10.0000,2.2796,0.2788,208
47104,1.3300,10.0000,2.1816,0.2250,200
49152,1.4615,10.0000,2.4421,0.2308,208
51200,1.4952,10.0000,2.5427,0.2452,208
53248,1.5200,10.0000,2.7010,0.2300,200
55296,1.6635,10.0000,2.6052,0.2356,208
57344,1.6150,10.0000,2.8097,0.2400,200
59392,1.7212,10.0000,2.7335,0.2308,208
61440,1.8365,10.0000,2.9129,0.2500,208
63488,1.7400,10.0000,2.6125,0.2350,200
65536,1.8894,10.0000,2.8462,0.2356,208
67584,1.9050,10.0000,2.6652,0.2100,200
69632,2.0625,10.0000,2.7175,0.2067,208
71680,2.0481,10.0000,2.7826,0.2308,208
73728,2.0050,10.0000,2.6079,0.2250,200
75776,2.1635,10.0000,2.5617,0.2308,208
77824,2.1000,10.0000,2.5960,0.2150,200
79872,2.3462,10.0000,2.6580,0.2260,208
81920,2.2596,10.0000,2.6101,0.2452,208
83968,2.3800,10.0000,2.8682,0.2250,200
86016,2.2596,10.0000,2.5925,0.2740,208
88064,2.2650,10.0000,2.6336,0.2200,200
90112,2.5048,10.0000,2.6247,0.2404,208
92160,2.6490,10.0000,2.4774,0.2308,208
94208,2.7050,10.0000,2.4822,0.2300,200
96256,2.6635,10.0000,2.5207,0.2212,208
