timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.4412,10.0000,1.1647,0.4461,204
4096,0.2976,10.0000,0.7400,0.2537,205
6144,0.2878,10.0000,0.8756,0.2829,205
8192,0.4341,10.0000,1.1049,0.3366,205
10240,0.4195,10.0000,1.1429,0.4829,205
12288,0.3676,10.0000,1.0549,0.3725,204
14336,0.3902,10.0000,1.1615,0.4098,205
16384,0.3805,10.0000,1.2395,0.4244,205
18432,0.4780,10.0000,1.1551,0.4488,205
20480,0.4878,10.0000,1.1566,0.3756,205
22528,0.4706,10.0000,1.2348,0.4167,204
24576,0.4439,10.0000,1.1824,0.4732,205
26624,0.5171,10.0000,1.3478,0.4878,205
28672,0.6195,10.0000,1.4185,0.4780,205
30720,0.5073,10.0000,1.3980,0.4732,205
32768,0.5637,10.0000,1.4828,0.4657,204
34816,0.5171,10.0000,1.4532,0.5463,205
36864,0.6439,10.0000,1.4922,0.4829,205
38912,0.6244,10.0000,1.4102,0.5073,205
40960,0.6244,10.0000,1.5741,0.5171,205
43008,0.8186,10.0000,1.5946,0.5343,204
45056,0.8049,10.0000,1.7059,0.5463,205
47104,0.8049,10.0000,1.8229,0.5024,205
49152,0.9268,10.0000,1.8439,0.5317,205
51200,0.8634,10.0000,1.8624,0.5659,205
53248,0.8529,10.0000,1.7574,0.5588,204
55296,0.7854,10.0000,1.7307,0.6195,205
57344,0.9805,10.0000,1.7302,0.5659,205
59392,0.8976,10.0000,1.8424,0.6390,205
