timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.5750,10.0000,1.2691,0.1800,200
4096,0.5192,10.0000,1.2358,0.1731,208
6144,0.5650,10.0000,1.3421,0.1750,200
8192,0.5577,10.0000,1.3675,0.1875,208
10240,0.6298,10.0000,1.2975,0.1875,208
12288,0.5250,10.0000,1.1870,0.1650,200
14336,0.5385,10.0000,1.3001,0.1923,208
16384,0.6200,10.0000,1.1910,0.1650,200
18432,0.6250,10.0000,1.3212,0.1827,208
20480,0.6202,10.0000,1.5252,0.2019,208
22528,0.7550,10.0000,1.5573,0.1600,200
24576,0.6635,10.0000,1.5224,0.2067,208
26624,0.6650,10.0000,1.4231,0.1900,200
28672,0.7933,10.0000,1.6389,0.1875,208
30720,0.7885,10.0000,1.6693,0.2019,208
32768,0.9700,10.0000,1.6932,0.2100,200
34816,0.9760,10.0000,2.0055,0.1779,208
36864,0.9400,10.0000,1.9686,0.1850,200
38912,1.0337,10.0000,2.0768,0.2163,208
40960,1.0673,10.0000,2.0901,0.1971,208
43008,1.3250,10.0000,2.0268,0.2250,200
45056,1.2356,10.0000,2.3341,0.2067,208
47104,1.3150,10.0000,2.3966,0.2050,200
49152,1.5385,10.0000,2.4876,0.2067,208
51200,1.4760,10.0000,2.5469,0.1971,208
53248,1.3850,10.0000,2.7249,0.2250,200
55296,1.5577,10.0000,2.4693,0.2260,208
57344,1.7750,10.0000,2.9495,0.2550,200
59392,1.7500,10.0000,2.5645,0.2692,208
61440,1.6875,10.0000,2.8296,0.1971,208
63488,1.8800,10.0000,2.9827,0.2050,200
65536,1.7933,10.0000,3.2331,0.2500,208
67584,1.8050,10.0000,2.7793,0.2700,200
69632,1.8894,10.0000,3.0601,0.2788,208
71680,1.8990,10.0000,2.9068,0.2212,208
73728,1.9550,10.0000,2.7698,0.2550,200
75776,1.9952,10.0000,3.0110,0.2548,208
77824,2.1300,10.0000,3.1058,0.2400,200
79872,2.1346,10.0000,3.1303,0.2596,208
81920,1.9760,10.0000,2.9849,0.2212,208
83968,2.2100,10.0000,2.8123,0.2350,200
86016,2.0337,10.0000,2.9613,0.2067,208
88064,2.2850,10.0000,2.8735,0.2600,200
90112,2.1779,10.0000,2.7956,0.2644,208
92160,2.3558,10.0000,2.7237,0.2163,208
94208,2.3350,10.0000,2.8232,0.1900,200
96256,2.4423,10.0000,2.7048,0.2788,208
98304,2.2750,10.0000,2.7513,0.2150,200
100352,2.4375,10.0000,2.9812,0.2452,208
102400,2.3990,10.0000,2.7790,0.2644,208
104448,2.6300,10.0000,2.7845,0.2350,200
106496,2.6154,10.0000,2.8082,0.2548,208
108544,2.5550,10.0000,2.6328,0.2000,200
110592,2.7163,10.0000,2.7838,0.2308,208
112640,2.4519,10.0000,2.7634,0.2019,208
114688,2.5150,10.0000,2.6199,0.2400,200
116736,2.4856,10.0000,2.4329,0.2596,208
118784,2.5200,10.0000,2.6371,0.2250,200
120832,2.6683,10.0000,2.7615,0.2163,208
122880,2.6490,10.0000,2.4766,0.2163,208
124928,2.6100,10.0000,2.9079,0.2200,200
126976,2.8413,10.0000,2.3900,0.2356,208
129024,2.7450,10.0000,2.8832,0.2150,200
131072,2.7067,10.0000,2.5798,0.2500,208
133120,2.6875,10.0000,2.6145,0.2308,208
135168,2.7350,10.0000,2.5832,0.2650,200
137216,2.8317,10.0000,2.6153,0.2837,208
139264,2.6950,10.0000,2.5761,0.2450,200
141312,2.7837,10.0000,2.5901,0.2212,208
143360,2.7548,10.0000,2.5107,0.2260,208
145408,2.8150,10.0000,2.5225,0.2650,200
147456,2.7356,10.0000,2.5408,0.2452,208
149504,3.0050,10.0000,2.5150,0.2400,200
151552,2.9135,10.0000,2.4925,0.2404,208
153600,3.0288,10.0000,2.4908,0.2019,208
155648,2.7800,10.0000,2.4740,0.2300,200
157696,2.8510,10.0000,2.3907,0.1923,208
159744,2.8900,10.0000,2.4275,0.2700,200
161792,2.6250,10.0000,2.5788,0.2163,208
163840,2.8413,10.0000,2.5000,0.2596,208
165888,2.8300,10.0000,2.3276,0.2400,200
167936,2.8125,10.0000,2.4235,0.2500,208
169984,2.7200,10.0000,2.0657,0.2450,200
172032,2.9423,10.0000,2.4164,0.2452,208
174080,2.8125,10.0000,2.0836,0.2308,208
176128,2.7850,10.0000,2.3618,0.2350,200
178176,2.7308,10.0000,2.4685,0.2260,208
180224,2.8800,10.0000,2.3953,0.2250,200
182272,2.8846,10.0000,2.4214,0.2500,208
184320,2.9904,10.0000,2.3361,0.2115,208
186368,2.8900,10.0000,2.4497,0.2350,200
188416,2.7644,10.0000,2.2839,0.2212,208
190464,2.9500,10.0000,2.3986,0.2000,200
192512,2.9231,10.0000,2.4697,0.2596,208
194560,2.8125,10.0000,2.2890,0.2067,208
196608,2.7450,10.0000,2.0923,0.2500,200
198656,2.8077,10.0000,2.3423,0.2500,208
200704,2.9850,10.0000,2.2943,0.2200,200
202752,2.9038,10.0000,2.2814,0.2356,208
204800,2.9471,10.0000,2.3573,0.2019,208
206848,2.9600,10.0000,2.1452,0.2150,200
208896,2.8077,10.0000,2.3427,0.2212,208
210944,2.9400,10.0000,2.3398,0.2350,200
212992,2.9663,10.0000,2.4022,0.2500,208
215040,3.0769,10.0000,2.4912,0.2115,208
217088,2.7100,10.0000,2.1942,0.2200,200
219136,2.8942,10.0000,2.2499,0.2067,208
221184,2.7950,10.0000,2.3929,0.2100,200
223232,2.8702,10.0000,2.2137,0.1779,208
225280,3.1298,10.0000,2.3625,0.2019,208
227328,3.1100,10.0000,2.2737,0.2450,200
229376,3.0913,10.0000,2.1277,0.2212,208
231424,2.9600,10.0000,2.1682,0.2050,200
233472,3.0721,10.0000,2.0791,0.2067,208
235520,2.9183,10.0000,2.1344,0.2308,208
237568,3.1250,10.0000,1.9981,0.2250,200
239616,3.0577,10.0000,2.2659,0.2356,208
241664,3.0000,10.0000,2.3181,0.2350,200
243712,3.0192,10.0000,2.3582,0.2308,208
245760,3.1058,10.0000,2.1367,0.2308,208
247808,3.3100,10.0000,2.1647,0.2550,200
249856,2.7356,10.0000,2.3577,0.2260,208
251904,3.0850,10.0000,2.1443,0.2000,200
253952,3.0962,10.0000,2.3140,0.2308,208
256000,3.1779,10.0000,2.3701,0.2163,208
258048,3.1650,10.0000,2.1861,0.2250,200
260096,3.1587,10.0000,2.1822,0.2212,208
262144,3.1200,10.0000,2.2158,0.2100,200
264192,3.2308,10.0000,2.4394,0.1971,208
266240,3.3269,10.0000,2.4119,0.2163,208
268288,3.2700,10.0000,2.2252,0.2600,200
270336,3.1010,10.0000,2.2325,0.2404,208
272384,3.1700,10.0000,2.0397,0.2400,200
274432,3.2356,10.0000,2.4305,0.2596,208
276480,3.4615,10.0000,2.4681,0.2500,208
278528,3.3100,10.0000,1.9712,0.2150,200
280576,3.2596,10.0000,2.0905,0.2212,208
282624,3.2500,10.0000,2.0837,0.2000,200
284672,3.4183,10.0000,2.2918,0.2308,208
286720,3.5000,10.0000,2.1290,0.2404,208
288768,3.3850,10.0000,1.9438,0.2300,200
290816,3.3510,10.0000,2.2603,0.2308,208
292864,3.4150,10.0000,2.1738,0.2450,200
294912,3.6298,10.0000,2.2630,0.2115,208
296960,3.4808,10.0000,1.9727,0.2115,208
299008,3.4900,10.0000,2.0610,0.2000,200
301056,3.4183,10.0000,2.0887,0.2019,208
303104,3.5150,10.0000,1.9907,0.2000,200
305152,3.3990,10.0000,2.4364,0.2212,208
307200,3.5529,10.0000,2.1692,0.2452,208
309248,3.5650,10.0000,2.2280,0.2200,200
311296,3.7115,10.0000,2.1579,0.1923,208
313344,3.7150,10.0000,2.0416,0.2550,200
315392,3.4615,10.0000,2.0708,0.2115,208
317440,3.4423,10.0000,2.2063,0.2115,208
319488,3.3300,10.0000,1.9614,0.2300,200
321536,3.5913,10.0000,2.3759,0.2115,208
323584,3.5650,10.0000,1.9067,0.2200,200
325632,3.5529,10.0000,2.1293,0.2356,208
327680,3.5817,10.0000,2.3647,0.2163,208
329728,3.5750,10.0000,2.0404,0.2300,200
331776,3.6106,10.0000,2.0555,0.2115,208
333824,3.7900,10.0000,2.0529,0.2100,200
335872,3.6875,10.0000,2.1837,0.2212,208
337920,3.5962,10.0000,2.0326,0.2452,208
339968,3.4550,10.0000,2.2036,0.2650,200
342016,3.5721,10.0000,1.8938,0.2356,208
344064,3.5800,10.0000,2.0106,0.2600,200
346112,3.8558,10.0000,2.2413,0.1971,208
348160,3.8365,10.0000,1.9930,0.1971,208
350208,3.6650,10.0000,1.9877,0.2500,200
352256,3.6154,10.0000,1.9525,0.2308,208
354304,3.6050,10.0000,2.1608,0.2400,200
356352,3.5192,10.0000,2.0056,0.1923,208
358400,3.6779,10.0000,1.8644,0.2115,208
360448,3.5300,10.0000,1.9732,0.2200,200
362496,3.5192,10.0000,2.0180,0.2212,208
364544,3.5950,10.0000,1.7320,0.2500,200
366592,3.5817,10.0000,1.8381,0.2019,208
368640,3.7212,10.0000,1.8910,0.1779,208
370688,3.4800,10.0000,2.1183,0.1900,200
372736,3.7548,10.0000,2.0406,0.2067,208
374784,3.8200,10.0000,1.8627,0.1950,200
376832,3.6154,10.0000,1.8803,0.2163,208
378880,3.6827,10.0000,1.8033,0.2308,208
380928,3.6500,10.0000,1.5801,0.2100,200
382976,3.5625,10.0000,1.9647,0.2163,208
385024,3.6350,10.0000,1.7197,0.2000,200
387072,3.6971,10.0000,1.9323,0.2019,208
389120,3.5433,10.0000,1.9634,0.2212,208
391168,3.8850,10.0000,1.8519,0.2150,200
393216,3.8221,10.0000,1.8290,0.1875,208
395264,3.7350,10.0000,1.7527,0.1950,200
397312,3.6490,10.0000,1.5687,0.2356,208
399360,3.5625,10.0000,1.5219,0.2115,208
401408,3.5000,10.0000,1.8434,0.2150,200
403456,3.8365,10.0000,1.8923,0.2212,208
405504,3.6650,10.0000,1.6538,0.1950,200
407552,3.7740,10.0000,1.9227,0.2644,208
409600,3.6683,10.0000,1.8439,0.1923,208
411648,3.7850,10.0000,1.7279,0.2000,200
413696,4.0337,10.0000,1.7283,0.2067,208
415744,3.9600,10.0000,1.8157,0.2100,200
417792,3.5577,10.0000,1.8317,0.2163,208
419840,3.7933,10.0000,1.8242,0.2115,208
421888,3.6600,10.0000,1.8575,0.2050,200
423936,3.7260,10.0000,1.8379,0.2067,208
425984,3.8800,10.0000,1.8197,0.2400,200
428032,3.7885,10.0000,1.9092,0.2067,208
430080,3.7885,10.0000,1.8050,0.2163,208
432128,3.8450,10.0000,1.8182,0.2000,200
434176,3.6683,10.0000,1.8350,0.2500,208
436224,3.9150,10.0000,1.6015,0.2150,200
438272,3.7981,10.0000,1.6295,0.1779,208
440320,3.5577,10.0000,1.7690,0.1827,208
442368,3.7100,10.0000,1.9702,0.2200,200
444416,3.9471,10.0000,1.7875,0.2212,208
446464,3.8200,10.0000,1.6249,0.2100,200
448512,3.6971,10.0000,1.8515,0.2308,208
450560,3.6971,10.0000,1.9308,0.1827,208
452608,3.7850,10.0000,1.6904,0.2150,200
454656,3.9375,10.0000,1.6695,0.1779,208
456704,3.6800,10.0000,1.5284,0.2000,200
458752,3.9712,10.0000,1.6856,0.2163,208
460800,3.8173,10.0000,1.5334,0.1971,208
