timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.4100,10.0000,1.1414,0.1450,200
4096,0.5577,10.0000,1.1699,0.1971,208
6144,0.5850,10.0000,1.1225,0.1650,200
8192,0.5529,10.0000,1.1233,0.1827,208
10240,0.5192,10.0000,1.3511,0.1779,208
12288,0.5150,10.0000,1.1179,0.1800,200
14336,0.5913,10.0000,1.4282,0.1923,208
16384,0.5750,10.0000,1.2534,0.1550,200
18432,0.5769,10.0000,1.3257,0.1875,208
20480,0.6010,10.0000,1.4043,0.1683,208
22528,0.6500,10.0000,1.3972,0.1750,200
24576,0.7260,10.0000,1.1425,0.2019,208
26624,0.6150,10.0000,1.2936,0.2250,200
28672,0.6202,10.0000,1.2785,0.1683,208
30720,0.7260,10.0000,1.2825,0.1538,208
32768,0.7100,10.0000,1.3634,0.1400,200
34816,0.7981,10.0000,1.4417,0.1827,208
36864,0.7450,10.0000,1.1428,0.1700,200
38912,0.8462,10.0000,1.2744,0.1875,208
40960,0.8654,10.0000,1.2220,0.1635,208
43008,0.7500,10.0000,1.2749,0.1750,200
45056,0.9760,10.0000,1.2937,0.1635,208
47104,0.9300,10.0000,1.3659,0.1900,200
49152,0.9423,10.0000,1.2581,0.2019,208
51200,1.0962,10.0000,1.4545,0.1587,208
53248,1.0500,10.0000,1.2862,0.2100,200
55296,1.2837,10.0000,1.4371,0.1875,208
57344,1.1650,10.0000,1.3914,0.1800,200
59392,1.3606,10.0000,1.5882,0.1538,208
61440,1.3894,10.0000,1.5517,0.2115,208
63488,1.2400,10.0000,1.4967,0.1850,200
65536,1.4327,10.0000,1.4986,0.1442,208
67584,1.5450,10.0000,1.4986,0.1500,200
69632,1.5913,10.0000,1.4337,0.1683,208
71680,1.6202,10.0000,1.5034,0.1779,208
73728,1.7000,10.0000,1.5819,0.1650,200
75776,1.6827,10.0000,1.5545,0.1923,208
77824,1.5600,10.0000,1.4008,0.1650,200
79872,1.7404,10.0000,1.3193,0.1587,208
81920,1.7260,10.0000,1.4800,0.1635,208
83968,1.5600,10.0000,1.4363,0.1400,200
86016,1.7933,10.0000,1.5245,0.1731,208
88064,1.9750,10.0000,1.5119,0.1350,200
90112,1.7933,10.0000,1.2470,0.1346,208
92160,1.8173,10.0000,1.2981,0.1490,208
94208,2.0200,10.0000,1.4854,0.1750,200
96256,2.1202,10.0000,1.3043,0.1442,208
98304,1.9700,10.0000,1.4148,0.1800,200
100352,2.0000,10.0000,1.2804,0.1442,208
102400,2.0288,10.0000,1.3913,0.1442,208
104448,2.0900,10.0000,1.1461,0.1350,200
106496,2.0433,10.0000,1.3454,0.1346,208
108544,2.0750,10.0000,1.2018,0.1250,200
110592,2.2212,10.0000,1.2301,0.1250,208
112640,2.1442,10.0000,1.1834,0.1394,208
114688,2.3650,10.0000,1.1308,0.1250,200
116736,2.1154,10.0000,1.0523,0.1106,208
118784,2.2650,10.0000,1.1870,0.1300,200
120832,2.2260,10.0000,1.3296,0.0817,208
122880,2.3221,10.0000,1.1340,0.1154,208
124928,2.1950,10.0000,1.1118,0.0700,200
126976,2.3702,10.0000,1.2557,0.1010,208
129024,2.4900,10.0000,1.3581,0.1200,200
131072,2.3125,10.0000,1.1862,0.0817,208
133120,2.5433,10.0000,1.1270,0.0913,208
135168,2.4850,10.0000,1.0514,0.0700,200
137216,2.4952,10.0000,1.1109,0.0865,208
139264,2.6050,10.0000,0.8697,0.0700,200
141312,2.3125,10.0000,0.9939,0.0721,208
143360,2.4471,10.0000,0.8101,0.0673,208
145408,2.5300,10.0000,0.9499,0.0600,200
147456,2.4712,10.0000,0.8732,0.0385,208
149504,2.3250,10.0000,0.8690,0.0650,200
151552,2.4712,10.0000,0.7665,0.0529,208
153600,2.4038,10.0000,0.7701,0.0433,208
155648,2.5350,10.0000,0.7470,0.0500,200
157696,2.5481,10.0000,0.6731,0.0385,208
159744,2.6100,10.0000,0.7922,0.0450,200
161792,2.6683,10.0000,0.8055,0.0192,208
163840,2.6298,10.0000,0.8757,0.0385,208
165888,2.6700,10.0000,0.6756,0.0350,200
167936,2.6971,10.0000,0.8566,0.0385,208
169984,2.8800,10.0000,0.8062,0.0250,200
172032,3.1202,10.0000,0.7962,0.0240,208
174080,2.9567,10.0000,0.7758,0.0192,208
176128,2.9900,10.0000,0.8331,0.0200,200
178176,3.0865,10.0000,0.7113,0.0096,208
180224,3.2500,10.0000,0.7364,0.0200,200
182272,3.1779,10.0000,0.6216,0.0288,208
184320,3.3365,10.0000,0.7042,0.0144,208
186368,3.1950,10.0000,0.6588,0.0200,200
188416,3.1250,10.0000,0.7206,0.0433,208
190464,3.3350,10.0000,0.6356,0.0500,200
192512,3.3317,10.0000,0.7350,0.0240,208
194560,3.4375,10.0000,0.6763,0.0144,208
196608,3.5400,10.0000,0.6652,0.0200,200
198656,3.4231,10.0000,0.5715,0.0240,208
200000,3.1765,10.0000,0.8326,0.0074,136
