timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.1302,1.1302,1.7555,0.1004,1812
4096,0.2068,1.2068,1.8708,0.1090,1697
6144,0.1656,1.1656,1.5981,0.1093,1757
8192,0.1743,1.1743,1.7874,0.1107,1744
10240,0.2090,1.2090,1.9153,0.1122,1694
12288,0.2605,1.2605,1.9130,0.1373,1624
14336,0.2895,1.2895,1.8088,0.1296,1589
16384,0.2872,1.2872,1.7737,0.1332,1591
18432,0.3626,1.3626,1.6970,0.1311,1503
20480,0.3913,1.3913,1.8120,0.1644,1472
22528,0.3918,1.3918,1.9325,0.1667,1470
24576,0.4319,1.4319,1.8583,0.1761,1431
26624,0.4209,1.4209,1.9828,0.1775,1442
