timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.5750,10.0000,1.1612,0.1700,200
4096,0.5481,10.0000,1.3284,0.1779,208
6144,0.4750,10.0000,1.3596,0.1800,200
8192,0.5144,10.0000,1.3370,0.1971,208
10240,0.5962,10.0000,1.2704,0.1683,208
12288,0.5400,10.0000,1.2834,0.1650,200
14336,0.5096,10.0000,1.1257,0.2019,208
16384,0.5350,10.0000,1.4729,0.2050,200
18432,0.5865,10.0000,1.5639,0.1538,208
20480,0.6106,10.0000,1.5281,0.1923,208
22528,0.6100,10.0000,1.5899,0.1950,200
24576,0.7452,10.0000,1.6363,0.1779,208
26624,0.6650,10.0000,1.4475,0.1550,200
28672,0.7308,10.0000,1.5769,0.2115,208
30720,0.7548,10.0000,1.6637,0.1875,208
32768,0.8250,10.0000,1.5873,0.1650,200
34816,0.8942,10.0000,1.5780,0.1923,208
36864,0.8800,10.0000,1.8928,0.2300,200
38912,1.0817,10.0000,1.9775,0.1971,208
40960,0.9375,10.0000,1.9481,0.2212,208
43008,1.4200,10.0000,2.1797,0.1950,200
45056,1.3317,10.0000,2.4949,0.2115,208
47104,1.4200,10.0000,2.3795,0.2300,200
49152,1.4375,10.0000,2.7123,0.1875,208
51200,1.4808,10.0000,2.5747,0.2019,208
53248,1.4750,10.0000,2.9855,0.2200,200
55296,1.5385,10.0000,2.8463,0.2308,208
57344,1.6800,10.0000,2.7999,0.2350,200
59392,1.6058,10.0000,2.6992,0.2404,208
61440,1.6827,10.0000,2.8073,0.2548,208
63488,1.5800,10.0000,2.6951,0.2250,200
65536,1.6635,10.0000,3.1607,0.2548,208
67584,1.7400,10.0000,3.1875,0.2050,200
69632,1.7452,10.0000,3.1092,0.2404,208
71680,1.8029,10.0000,3.1575,0.2692,208
73728,1.7700,10.0000,3.2992,0.2650,200
75776,1.9038,10.0000,3.5584,0.2981,208
77824,1.8450,10.0000,3.4013,0.2700,200
79872,1.8125,10.0000,3.0731,0.2644,208
81920,1.8173,10.0000,3.1168,0.2596,208
83968,1.9200,10.0000,3.2292,0.2500,200
86016,1.7933,10.0000,3.1702,0.2596,208
88064,1.7600,10.0000,3.2178,0.2100,200
90112,1.7933,10.0000,3.1512,0.2404,208
92160,2.0048,10.0000,2.9189,0.2404,208
94208,2.1600,10.0000,2.9915,0.2400,200
96256,1.9231,10.0000,2.8783,0.2548,208
98304,2.1100,10.0000,3.1849,0.2700,200
100352,2.1587,10.0000,3.0076,0.2548,208
102400,2.2596,10.0000,3.0182,0.2500,208
104448,2.2000,10.0000,3.0367,0.2250,200
106496,2.3029,10.0000,2.9677,0.2452,208
108544,2.2950,10.0000,2.8818,0.2300,200
110592,2.2019,10.0000,2.8201,0.2500,208
112640,2.2500,10.0000,2.7591,0.2356,208
114688,2.2050,10.0000,2.8955,0.2250,200
116736,2.2308,10.0000,2.9975,0.2452,208
118784,2.4350,10.0000,3.0486,0.2300,200
120832,2.1923,10.0000,2.7615,0.2500,208
122880,2.2548,10.0000,2.8890,0.2212,208
124928,2.1700,10.0000,3.0248,0.2700,200
126976,2.2740,10.0000,2.7091,0.2356,208
129024,2.2400,10.0000,2.9901,0.2200,200
131072,1.9135,10.0000,2.9634,0.2548,208
133120,2.2596,10.0000,2.9048,0.2500,208
135168,2.2550,10.0000,2.8576,0.2250,200
137216,2.3317,10.0000,2.8020,0.2404,208
139264,2.4300,10.0000,2.8873,0.2600,200
141312,2.6010,10.0000,2.6288,0.2260,208
143360,2.3317,10.0000,2.6538,0.2260,208
145408,2.7850,10.0000,2.5914,0.2100,200
147456,2.4856,10.0000,2.5944,0.2019,208
149504,2.4450,10.0000,2.7612,0.2200,200
151552,2.5048,10.0000,2.7275,0.2115,208
153600,2.6779,10.0000,2.5898,0.2404,208
155648,2.6650,10.0000,2.7484,0.2450,200
157696,2.4567,10.0000,2.6232,0.2212,208
159744,2.6100,10.0000,2.4188,0.2000,200
161792,2.5385,10.0000,2.7360,0.2212,208
163840,2.6538,10.0000,2.6740,0.2404,208
165888,2.6950,10.0000,2.6335,0.2350,200
167936,2.6442,10.0000,2.6264,0.2067,208
169984,2.8300,10.0000,2.7607,0.1850,200
172032,2.7981,10.0000,2.5461,0.2163,208
174080,2.8413,10.0000,2.5054,0.2115,208
176128,2.8600,10.0000,2.7125,0.2350,200
178176,2.8462,10.0000,2.4857,0.2067,208
180224,2.7650,10.0000,2.4073,0.1950,200
182272,2.8173,10.0000,2.6020,0.2212,208
184320,2.6731,10.0000,2.5290,0.2163,208
186368,2.8100,10.0000,2.6013,0.2650,200
188416,2.9375,10.0000,2.6189,0.2404,208
190464,2.8550,10.0000,2.6324,0.2550,200
192512,3.0288,10.0000,2.3527,0.2019,208
194560,2.7740,10.0000,2.3772,0.2163,208
196608,2.8050,10.0000,2.3128,0.2500,200
198656,2.9760,10.0000,2.5717,0.2115,208
200704,2.8250,10.0000,2.3958,0.1850,200
202752,2.8750,10.0000,2.3614,0.2115,208
204800,2.7837,10.0000,2.3362,0.2115,208
206848,3.0050,10.0000,2.2662,0.1900,200
208896,2.9327,10.0000,2.3809,0.2548,208
210944,2.8850,10.0000,2.2375,0.2700,200
212992,2.8173,10.0000,2.3032,0.2212,208
215040,2.9135,10.0000,2.1756,0.2212,208
217088,2.8700,10.0000,2.3199,0.2150,200
219136,2.9615,10.0000,2.3016,0.2212,208
221184,3.1100,10.0000,2.1489,0.2200,200
223232,2.9904,10.0000,2.0499,0.2260,208
225280,2.7260,10.0000,2.1552,0.2308,208
227328,2.8000,10.0000,2.1944,0.2350,200
229376,2.9615,10.0000,2.1062,0.2067,208
231424,2.8750,10.0000,2.3268,0.2550,200
233472,2.9519,10.0000,2.3015,0.2260,208
235520,2.8894,10.0000,2.0593,0.1923,208
237568,2.8200,10.0000,2.2804,0.2200,200
239616,2.8462,10.0000,1.9964,0.2067,208
241664,2.8750,10.0000,2.0015,0.2550,200
243712,3.0096,10.0000,2.0122,0.2067,208
245760,2.8077,10.0000,1.8487,0.2212,208
247808,2.9300,10.0000,2.2888,0.2050,200
249856,2.9952,10.0000,2.0368,0.1923,208
251904,2.9900,10.0000,1.9958,0.2250,200
253952,2.9087,10.0000,2.1714,0.2067,208
256000,3.0240,10.0000,2.0755,0.2260,208
258048,3.1000,10.0000,2.0619,0.2100,200
260096,3.1154,10.0000,1.9454,0.2067,208
262144,2.9600,10.0000,2.0411,0.2250,200
264192,3.0288,10.0000,2.1637,0.2452,208
266240,3.0385,10.0000,2.0538,0.2067,208
268288,3.0550,10.0000,1.8654,0.2200,200
270336,3.1154,10.0000,2.1103,0.2308,208
272384,3.1100,10.0000,1.8981,0.2000,200
