timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,1.0650,10.0000,0.8424,0.1600,200
4096,2.2548,10.0000,0.9237,0.1875,208
6144,2.4800,10.0000,1.4002,0.2000,200
8192,2.7981,10.0000,1.3413,0.1827,208
10240,3.1490,10.0000,1.3010,0.2260,208
12288,3.0900,10.0000,1.3287,0.1950,200
14336,3.1058,10.0000,1.4448,0.1875,208
16384,3.0450,10.0000,1.1885,0.1700,200
18432,3.1587,10.0000,1.2362,0.2019,208
20480,3.3558,10.0000,1.1928,0.1827,208
22528,3.3850,10.0000,1.1757,0.2000,200
24576,3.3750,10.0000,1.1208,0.1923,208
26624,3.5550,10.0000,1.4224,0.1900,200
28672,3.5385,10.0000,1.3700,0.1971,208
30720,3.3846,10.0000,1.2335,0.2019,208
32768,3.6050,10.0000,1.1269,0.1900,200
34816,3.4038,10.0000,1.2539,0.1923,208
36864,3.5600,10.0000,1.2405,0.1950,200
38912,3.3606,10.0000,1.1961,0.1875,208
40960,3.5577,10.0000,1.3606,0.1827,208
43008,3.7500,10.0000,1.3752,0.1650,200
45056,3.6202,10.0000,1.2071,0.1923,208
47104,3.7750,10.0000,1.0297,0.1750,200
49152,3.6250,10.0000,1.2125,0.1779,208
51200,3.6587,10.0000,1.1093,0.1587,208
53248,3.7800,10.0000,1.2966,0.1800,200
55296,3.4712,10.0000,1.1743,0.2019,208
57344,3.9450,10.0000,1.1113,0.1700,200
59392,3.7019,10.0000,1.1888,0.1683,208
61440,3.8846,10.0000,1.1886,0.1827,208
63488,3.8100,10.0000,1.1594,0.1800,200
65536,3.6250,10.0000,1.1695,0.1827,208
67584,3.7400,10.0000,1.0530,0.2000,200
69632,4.0433,10.0000,1.1722,0.1923,208
71680,3.9423,10.0000,1.1357,0.1875,208
73728,3.7450,10.0000,1.1271,0.1650,200
75776,3.8173,10.0000,1.1421,0.2067,208
77824,3.8850,10.0000,1.2345,0.1700,200
79872,3.7356,10.0000,1.1973,0.2067,208
81920,3.8173,10.0000,1.1566,0.1731,208
83968,4.1000,10.0000,1.2193,0.1700,200
86016,3.9231,10.0000,1.0711,0.1731,208
88064,3.8600,10.0000,1.1641,0.1850,200
90112,4.1202,10.0000,1.1928,0.1923,208
92160,4.0096,10.0000,1.1087,0.2019,208
94208,3.9250,10.0000,1.0786,0.1650,200
96256,4.0625,10.0000,1.2036,0.1875,208
98304,4.0050,10.0000,1.1177,0.1900,200
100352,4.1106,10.0000,1.0680,0.1683,208
102400,4.2067,10.0000,1.1179,0.1971,208
104448,3.9350,10.0000,1.2832,0.2000,200
106496,4.1106,10.0000,1.0898,0.2019,208
108544,3.9650,10.0000,1.0890,0.2050,200
110592,4.0577,10.0000,1.1417,0.1587,208
112640,3.8077,10.0000,1.1461,0.1875,208
114688,4.2300,10.0000,1.1439,0.1900,200
116736,4.2404,10.0000,1.2599,0.1779,208
118784,3.9500,10.0000,1.2490,0.1850,200
120832,4.1346,10.0000,1.1627,0.1923,208
122880,4.0481,10.0000,1.1299,0.1923,208
124928,4.0050,10.0000,1.1219,0.1550,200
126976,4.1635,10.0000,1.0155,0.1683,208
129024,3.8400,10.0000,0.8710,0.1600,200
131072,3.8894,10.0000,1.1220,0.2067,208
133120,4.0433,10.0000,1.1893,0.1442,208
135168,4.2100,10.0000,1.0929,0.1850,200
137216,4.0144,10.0000,1.1874,0.1635,208
139264,3.9450,10.0000,1.1271,0.1900,200
141312,4.1442,10.0000,1.0754,0.1827,208
143360,4.0913,10.0000,1.1207,0.1538,208
145408,4.0600,10.0000,1.0527,0.1900,200
147456,4.1971,10.0000,1.0450,0.2067,208
149504,4.0900,10.0000,1.2956,0.2050,200
151552,3.9856,10.0000,1.0891,0.1635,208
153600,4.3221,10.0000,0.9362,0.1779,208
155648,4.0600,10.0000,1.0873,0.1550,200
157696,4.1875,10.0000,1.1361,0.1923,208
159744,4.0700,10.0000,0.9495,0.1750,200
161792,4.0144,10.0000,1.1581,0.1875,208
163840,4.0913,10.0000,1.1197,0.2115,208
165888,4.0350,10.0000,1.1247,0.1950,200
167936,4.2788,10.0000,1.0537,0.1683,208
169984,3.9550,10.0000,1.0264,0.1700,200
172032,4.0865,10.0000,1.0323,0.1683,208
174080,4.0337,10.0000,1.0888,0.1971,208
176128,4.2000,10.0000,1.1149,0.2200,200
178176,3.8942,10.0000,0.9280,0.1923,208
180224,4.1150,10.0000,1.1410,0.1850,200
182272,4.1971,10.0000,1.0634,0.2019,208
184320,3.9279,10.0000,1.0672,0.1971,208
186368,4.2150,10.0000,1.0294,0.1700,200
188416,4.1683,10.0000,1.0323,0.1731,208
190464,4.1600,10.0000,1.0012,0.1750,200
192512,3.9904,10.0000,1.0330,0.1827,208
194560,4.1971,10.0000,1.0277,0.1731,208
196608,4.0750,10.0000,0.9493,0.1500,200
198656,4.0240,10.0000,1.1133,0.1923,208
200000,4.3235,10.0000,1.1012,0.1544,136
