timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,0.5100,10.0000,1.2476,0.1650,200
4096,0.4760,10.0000,1.2792,0.1731,208
6144,0.5300,10.0000,1.2710,0.1650,200
8192,0.5529,10.0000,1.3215,0.1731,208
10240,0.5337,10.0000,1.2362,0.1779,208
12288,0.5450,10.0000,1.4149,0.1650,200
14336,0.5673,10.0000,1.3531,0.1827,208
16384,0.5500,10.0000,1.2779,0.1650,200
18432,0.5529,10.0000,1.3420,0.1538,208
20480,0.5288,10.0000,1.3215,0.1779,208
22528,0.6200,10.0000,1.3487,0.1900,200
24576,0.6250,10.0000,1.2673,0.1779,208
26624,0.5000,10.0000,1.3767,0.2100,200
28672,0.6154,10.0000,1.5480,0.1779,208
30720,0.6779,10.0000,1.2593,0.1587,208
32768,0.7150,10.0000,1.6942,0.1650,200
34816,0.7260,10.0000,1.3741,0.1683,208
36864,0.7400,10.0000,1.8711,0.2050,200
38912,0.8894,10.0000,1.7609,0.1923,208
40960,1.0433,10.0000,1.6682,0.1923,208
43008,1.0200,10.0000,1.6519,0.1800,200
45056,1.0721,10.0000,1.8584,0.1923,208
47104,1.2750,10.0000,2.0424,0.1750,200
49152,1.2885,10.0000,2.1389,0.1875,208
51200,1.1971,10.0000,2.0972,0.1875,208
53248,1.4300,10.0000,2.2005,0.1850,200
55296,1.5000,10.0000,2.2454,0.1635,208
57344,1.5250,10.0000,2.3644,0.1850,200
59392,1.5337,10.0000,2.2802,0.2019,208
61440,1.6538,10.0000,2.4101,0.2212,208
63488,1.5800,10.0000,2.4336,0.2200,200
65536,1.7788,10.0000,2.4824,0.2212,208
67584,1.7450,10.0000,2.5015,0.2050,200
69632,1.8894,10.0000,2.5566,0.2308,208
71680,1.7933,10.0000,2.2275,0.2163,208
73728,1.8950,10.0000,2.3871,0.2350,200
75776,1.9087,10.0000,2.4546,0.2788,208
77824,2.1050,10.0000,2.4305,0.2400,200
79872,2.0817,10.0000,2.4366,0.2452,208
81920,2.0625,10.0000,2.1848,0.2356,208
83968,2.1050,10.0000,2.1986,0.2300,200
86016,2.1298,10.0000,2.2858,0.2308,208
88064,2.0850,10.0000,2.0761,0.2300,200
