timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,1.2396,20.0000,1.1779,0.1562,96
4096,1.1346,20.0000,1.0387,0.1827,104
6144,1.1442,20.0000,1.2844,0.2308,104
8192,1.0000,20.0000,1.1559,0.1635,104
10240,0.9904,20.0000,1.4360,0.2019,104
12288,1.1458,20.0000,1.1021,0.1875,96
14336,1.3462,20.0000,1.3469,0.1827,104
16384,0.9712,20.0000,1.2050,0.1538,104
18432,1.2115,20.0000,1.4638,0.1731,104
20480,1.0481,20.0000,1.5003,0.1442,104
22528,1.2083,20.0000,1.5148,0.1667,96
24576,1.3654,20.0000,1.0870,0.1923,104
26624,1.2500,20.0000,1.3949,0.1827,104
28672,1.2692,20.0000,1.5960,0.1827,104
30720,1.5288,20.0000,1.1680,0.1731,104
32768,1.4479,20.0000,1.5208,0.2188,96
34816,1.7308,20.0000,1.4065,0.1346,104
36864,1.8077,20.0000,1.5079,0.1635,104
38912,1.7692,20.0000,1.6060,0.1538,104
40960,1.9423,20.0000,1.5441,0.1731,104
43008,2.2083,20.0000,1.7346,0.1562,96
45056,2.2981,20.0000,1.4316,0.1827,104
47104,2.1635,20.0000,2.1205,0.1442,104
49152,2.4615,20.0000,2.1947,0.1923,104
51200,2.5481,20.0000,2.1656,0.1827,104
53248,2.7917,20.0000,1.9726,0.1771,96
55296,2.7981,20.0000,2.2787,0.2500,104
57344,3.0962,20.0000,2.2313,0.1923,104
59392,2.7885,20.0000,2.1316,0.2500,104
61440,2.9904,20.0000,2.2147,0.1827,104
63488,2.9479,20.0000,2.4210,0.2188,96
65536,3.2596,20.0000,2.1791,0.2692,104
67584,3.0769,20.0000,2.4079,0.2115,104
69632,2.7885,20.0000,2.6156,0.2500,104
71680,3.2500,20.0000,2.3502,0.2596,104
73728,3.7500,20.0000,2.4124,0.1979,96
75776,3.7981,20.0000,2.4069,0.2212,104
77824,3.3654,20.0000,2.2594,0.2212,104
79872,3.7692,20.0000,2.4462,0.1923,104
81920,3.6250,20.0000,2.5273,0.2212,104
83968,4.0938,20.0000,2.3858,0.2812,96
86016,3.9135,20.0000,2.1828,0.2115,104
88064,3.8173,20.0000,2.2372,0.2115,104
90112,3.9327,20.0000,2.2892,0.2115,104
92160,4.1154,20.0000,2.2357,0.2212,104
94208,3.7917,20.0000,2.1354,0.2708,96
96256,4.1250,20.0000,2.2583,0.2019,104
98304,4.4038,20.0000,2.1596,0.1731,104
100352,4.2404,20.0000,1.8027,0.2115,104
102400,4.3942,20.0000,1.9257,0.1827,104
104448,4.2292,20.0000,1.9880,0.1667,96
106496,4.1731,20.0000,1.7438,0.2404,104
108544,4.4038,20.0000,1.8622,0.2115,104
110592,4.9231,20.0000,1.7025,0.2885,104
112640,4.8462,20.0000,1.8254,0.1731,104
114688,4.8125,20.0000,1.6353,0.2188,96
116736,4.9135,20.0000,1.6583,0.1923,104
118784,5.1250,20.0000,1.7477,0.1923,104
120832,5.1154,20.0000,1.9250,0.1635,104
122880,4.8365,20.0000,1.6306,0.1731,104
124928,5.0938,20.0000,1.6316,0.1979,96
126976,5.1635,20.0000,1.7281,0.2115,104
129024,5.1154,20.0000,1.7470,0.1731,104
131072,5.5192,20.0000,1.7009,0.2019,104
133120,5.1154,20.0000,1.6143,0.1827,104
135168,5.0729,20.0000,1.5283,0.1562,96
137216,5.3173,20.0000,1.5647,0.1827,104
139264,5.3077,20.0000,1.6240,0.1731,104
141312,5.2788,20.0000,1.7048,0.1923,104
143360,5.2019,20.0000,1.6589,0.2212,104
145408,5.3021,20.0000,1.6009,0.1667,96
147456,5.6058,20.0000,1.6833,0.1827,104
149504,5.4808,20.0000,1.5278,0.2115,104
151552,5.6154,20.0000,1.4992,0.2596,104
153600,5.2500,20.0000,1.5041,0.1827,104
155648,5.2292,20.0000,1.5071,0.1875,96
157696,5.7596,20.0000,1.3340,0.2308,104
159744,5.3462,20.0000,1.4716,0.2404,104
161792,5.5481,20.0000,1.5392,0.1635,104
