timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
221184,3.3250,10.0000,1.5304,0.2350,200
2048,0.4550,10.0000,1.2579,0.1700,200
223232,3.5096,10.0000,1.5539,0.2163,208
4096,0.4615,10.0000,1.2632,0.2019,208
225280,3.6538,10.0000,1.5215,0.2019,208
6144,0.4900,10.0000,1.1647,0.1600,200
8192,0.5673,10.0000,1.1731,0.1587,208
227328,3.4050,10.0000,1.3955,0.2100,200
10240,0.5721,10.0000,1.3629,0.1683,208
229376,3.5625,10.0000,1.5820,0.2019,208
12288,0.5400,10.0000,1.1668,0.1850,200
231424,3.6550,10.0000,1.4074,0.1900,200
14336,0.5144,10.0000,1.4608,0.1827,208
233472,3.6106,10.0000,1.5418,0.1827,208
16384,0.5350,10.0000,1.4332,0.2000,200
235520,3.5433,10.0000,1.3906,0.1587,208
18432,0.6346,10.0000,1.5704,0.1635,208
20480,0.5962,10.0000,1.5145,0.1683,208
237568,3.7750,10.0000,1.6996,0.2400,200
22528,0.6250,10.0000,1.5137,0.1650,200
239616,3.7212,10.0000,1.3664,0.2212,208
24576,0.6106,10.0000,1.4908,0.1779,208
241664,3.8350,10.0000,1.4140,0.2100,200
26624,0.5900,10.0000,1.3347,0.1750,200
243712,3.7500,10.0000,1.3857,0.1827,208
28672,0.7067,10.0000,1.5292,0.1779,208
245760,3.6731,10.0000,1.5707,0.1923,208
30720,0.6394,10.0000,1.2815,0.1635,208
247808,3.5850,10.0000,1.4018,0.1900,200
32768,0.7100,10.0000,1.4066,0.1800,200
34816,0.8558,10.0000,1.6132,0.1827,208
249856,3.8125,10.0000,1.5234,0.1731,208
36864,0.7800,10.0000,1.6205,0.1750,200
251904,3.8000,10.0000,1.4646,0.2000,200
38912,0.9856,10.0000,1.9079,0.2019,208
253952,3.7981,10.0000,1.2158,0.2163,208
40960,1.0096,10.0000,1.8992,0.1971,208
256000,3.6442,10.0000,1.2291,0.1923,208
43008,1.0750,10.0000,1.9080,0.1750,200
258048,3.8450,10.0000,1.3332,0.2050,200
45056,1.1923,10.0000,2.0124,0.2356,208
47104,1.2800,10.0000,2.2192,0.2150,200
260096,3.8798,10.0000,1.3102,0.2260,208
49152,1.2740,10.0000,2.0632,0.2163,208
262144,3.8150,10.0000,1.3462,0.1900,200
51200,1.2356,10.0000,2.1464,0.1971,208
264192,3.8125,10.0000,1.4565,0.1923,208
53248,1.3850,10.0000,2.0897,0.2450,200
266240,3.8798,10.0000,1.3079,0.2115,208
55296,1.5865,10.0000,2.2248,0.2212,208
57344,1.5450,10.0000,2.3398,0.2500,200
268288,3.9800,10.0000,1.3618,0.1750,200
59392,1.6010,10.0000,2.5407,0.2308,208
270336,4.1250,10.0000,1.1335,0.2019,208
61440,1.6154,10.0000,2.2701,0.2163,208
272384,3.7100,10.0000,1.4114,0.2150,200
63488,1.6400,10.0000,2.2655,0.2700,200
274432,3.7019,10.0000,1.3450,0.2115,208
65536,1.7308,10.0000,2.4688,0.2212,208
276480,3.7212,10.0000,1.3092,0.1971,208
67584,1.6650,10.0000,2.4603,0.1750,200
278528,3.6550,10.0000,1.3873,0.2100,200
69632,1.8942,10.0000,2.3645,0.1971,208
71680,1.7500,10.0000,2.4123,0.2067,208
280576,3.8654,10.0000,1.3826,0.2019,208
73728,1.8200,10.0000,2.2028,0.2100,200
282624,3.9800,10.0000,1.3161,0.2000,200
75776,1.9856,10.0000,2.0193,0.2067,208
284672,3.9856,10.0000,1.3979,0.2067,208
77824,2.0200,10.0000,2.3871,0.2300,200
286720,3.9712,10.0000,1.2665,0.2067,208
79872,1.8125,10.0000,2.1932,0.2019,208
81920,2.1202,10.0000,2.1986,0.2740,208
288768,3.9650,10.0000,1.3669,0.1550,200
83968,1.9400,10.0000,2.1401,0.2500,200
290816,3.9327,10.0000,1.5084,0.2356,208
86016,2.0865,10.0000,2.2791,0.2212,208
292864,3.8900,10.0000,1.1910,0.2100,200
88064,2.0850,10.0000,1.9029,0.2150,200
294912,4.0337,10.0000,1.2786,0.1683,208
90112,2.0337,10.0000,1.9338,0.1971,208
296960,4.0481,10.0000,1.2196,0.2019,208
92160,2.1635,10.0000,2.1861,0.2308,208
94208,2.0900,10.0000,1.9179,0.2400,200
299008,4.1150,10.0000,1.3593,0.1850,200
96256,2.2260,10.0000,2.0858,0.2115,208
301056,4.0769,10.0000,1.1456,0.2115,208
98304,2.4100,10.0000,2.0784,0.1900,200
303104,4.0000,10.0000,1.1915,0.2050,200
100352,2.3269,10.0000,1.8532,0.2019,208
305152,4.1202,10.0000,1.2640,0.2115,208
102400,2.4087,10.0000,1.8778,0.2163,208
307200,4.0000,10.0000,1.2484,0.2308,208
104448,2.6400,10.0000,1.9117,0.1850,200
106496,2.3990,10.0000,1.6868,0.1875,208
309248,3.9450,10.0000,1.4423,0.2300,200
108544,2.5400,10.0000,1.9073,0.1950,200
311296,3.9423,10.0000,1.3615,0.1923,208
110592,2.6587,10.0000,1.6136,0.1779,208
313344,4.1200,10.0000,1.2151,0.1950,200
112640,2.5192,10.0000,1.6772,0.1731,208
114688,2.7300,10.0000,1.8237,0.2050,200
315392,4.3077,10.0000,1.1422,0.1731,208
116736,2.8798,10.0000,1.6382,0.1779,208
317440,3.8702,10.0000,1.1816,0.1971,208
118784,2.8400,10.0000,1.8183,0.2200,200
120832,2.8317,10.0000,1.7990,0.1923,208
319488,4.2100,10.0000,1.2404,0.1900,200
122880,2.7308,10.0000,1.6579,0.2163,208
321536,4.0337,10.0000,1.4416,0.1923,208
124928,3.0100,10.0000,1.8422,0.2400,200
323584,3.9150,10.0000,1.2200,0.1800,200
126976,2.9663,10.0000,1.7037,0.2308,208
129024,2.9650,10.0000,1.7115,0.1750,200
325632,4.2788,10.0000,1.2568,0.1971,208
131072,2.9327,10.0000,1.6099,0.2163,208
327680,4.1538,10.0000,1.3421,0.2019,208
133120,2.9663,10.0000,1.6523,0.2067,208
329728,4.2350,10.0000,1.4007,0.1550,200
135168,3.0850,10.0000,1.6223,0.2100,200
137216,2.9087,10.0000,1.6320,0.1779,208
331776,4.0721,10.0000,1.3799,0.2115,208
139264,2.9850,10.0000,1.6295,0.2050,200
333824,3.9650,10.0000,1.3324,0.1700,200
141312,3.0337,10.0000,1.8402,0.1875,208
335872,3.8942,10.0000,1.3176,0.1971,208
143360,3.0481,10.0000,1.4920,0.1971,208
145408,2.9400,10.0000,1.5911,0.1750,200
337920,4.0385,10.0000,1.2246,0.1827,208
147456,3.1923,10.0000,1.5615,0.2067,208
339968,4.0300,10.0000,1.1268,0.2100,200
149504,3.1200,10.0000,1.6617,0.1850,200
342016,4.1490,10.0000,1.1454,0.1971,208
151552,3.1538,10.0000,1.5142,0.1923,208
153600,3.1154,10.0000,1.5306,0.2308,208
344064,4.2000,10.0000,1.1266,0.1750,200
155648,3.2150,10.0000,1.6725,0.1950,200
346112,4.0192,10.0000,1.3160,0.1971,208
157696,3.0962,10.0000,1.5217,0.2067,208
348160,4.1250,10.0000,1.2931,0.1923,208
159744,3.2100,10.0000,1.4195,0.2250,200
161792,3.1490,10.0000,1.5859,0.2067,208
350208,4.2800,10.0000,1.2760,0.2000,200
163840,3.2356,10.0000,1.6295,0.1827,208
352256,3.9423,10.0000,1.0194,0.2067,208
165888,3.3300,10.0000,1.5487,0.1950,200
354304,4.3700,10.0000,1.2345,0.2000,200
167936,3.0817,10.0000,1.6768,0.2019,208
169984,3.3850,10.0000,1.5151,0.1800,200
356352,4.1154,10.0000,1.4007,0.1827,208
172032,3.1202,10.0000,1.8070,0.2115,208
358400,3.9760,10.0000,1.3373,0.1875,208
174080,3.3942,10.0000,1.4916,0.1779,208
