timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,1.1350,10.0000,0.7825,0.1550,200
4096,2.8798,10.0000,1.2147,0.2019,208
6144,3.1700,10.0000,1.5499,0.2250,200
8192,3.3654,10.0000,1.4361,0.2067,208
10240,3.6298,10.0000,1.3581,0.1875,208
12288,3.6900,10.0000,1.4192,0.1850,200
14336,3.9567,10.0000,1.4712,0.2067,208
16384,4.0200,10.0000,1.3967,0.2000,200
18432,4.0096,10.0000,1.3410,0.2163,208
20480,3.9712,10.0000,1.3625,0.1779,208
22528,4.0700,10.0000,1.4075,0.2000,200
24576,4.2260,10.0000,1.4992,0.1827,208
26624,3.9750,10.0000,1.3786,0.1900,200
28672,4.1106,10.0000,1.2993,0.2019,208
30720,4.2452,10.0000,1.3082,0.2260,208
32768,4.0750,10.0000,1.3040,0.2050,200
34816,4.4952,10.0000,1.5028,0.2019,208
36864,4.1550,10.0000,1.3727,0.2000,200
38912,4.3942,10.0000,1.4372,0.2067,208
40960,4.1923,10.0000,1.5163,0.2260,208
43008,4.4000,10.0000,1.3069,0.1750,200
45056,4.2981,10.0000,1.4339,0.2067,208
47104,4.3450,10.0000,1.4024,0.2000,200
49152,4.2019,10.0000,1.3728,0.2404,208
51200,4.2452,10.0000,1.3860,0.1971,208
53248,4.3400,10.0000,1.5105,0.2500,200
55296,4.1875,10.0000,1.3747,0.1971,208
57344,4.1700,10.0000,1.3376,0.1700,200
59392,4.2308,10.0000,1.2974,0.2067,208
61440,4.3558,10.0000,1.3395,0.1971,208
63488,4.4150,10.0000,1.4082,0.2300,200
65536,4.4038,10.0000,1.1891,0.2260,208
67584,4.2700,10.0000,1.2754,0.1850,200
69632,4.5769,10.0000,1.4522,0.2260,208
71680,4.4183,10.0000,1.3814,0.2019,208
73728,4.1750,10.0000,1.2920,0.2100,200
75776,4.3990,10.0000,1.3353,0.1923,208
77824,4.4100,10.0000,1.2973,0.2000,200
79872,4.4519,10.0000,1.3052,0.2067,208
81920,4.3317,10.0000,1.4127,0.1683,208
83968,4.2750,10.0000,1.3427,0.2150,200
86016,4.6683,10.0000,1.1895,0.1538,208
88064,4.5800,10.0000,1.3745,0.1900,200
90112,4.5529,10.0000,1.4166,0.1971,208
92160,4.7885,10.0000,1.3284,0.1827,208
94208,4.5200,10.0000,1.3329,0.1850,200
96256,4.5577,10.0000,1.2291,0.2163,208
98304,4.3950,10.0000,1.3285,0.2250,200
100352,4.5144,10.0000,1.2943,0.2356,208
102400,4.6202,10.0000,1.2075,0.2115,208
104448,4.6200,10.0000,1.3288,0.2000,200
106496,4.5865,10.0000,1.4577,0.1971,208
108544,4.6400,10.0000,1.2238,0.1900,200
110592,4.6442,10.0000,1.4071,0.2308,208
112640,4.6202,10.0000,1.3134,0.2260,208
114688,4.8750,10.0000,1.3850,0.1900,200
116736,4.4423,10.0000,1.2759,0.1875,208
118784,4.6400,10.0000,1.1801,0.2000,200
120832,4.4712,10.0000,1.5006,0.2067,208
122880,4.6202,10.0000,1.3909,0.1779,208
124928,4.6250,10.0000,1.3132,0.2050,200
126976,4.7933,10.0000,1.1777,0.2067,208
129024,4.7150,10.0000,1.1709,0.2350,200
131072,4.6490,10.0000,1.3810,0.2163,208
133120,4.7163,10.0000,1.2902,0.1971,208
135168,4.7250,10.0000,1.2955,0.1700,200
137216,4.5192,10.0000,1.2335,0.1731,208
139264,4.7500,10.0000,1.1883,0.1650,200
141312,4.5625,10.0000,1.2267,0.2115,208
143360,4.8317,10.0000,1.2740,0.1875,208
145408,4.7250,10.0000,1.1857,0.2300,200
147456,4.8029,10.0000,1.2966,0.1875,208
149504,4.7850,10.0000,1.4351,0.1800,200
150000,4.6964,10.0000,1.1903,0.1964,56
