timesteps,ep_return_mean,ep_length_mean,ep_cushion_mean,ep_foul_rate,n_episodes_in_window
2048,1.9300,10.0000,0.9518,0.1850,200
4096,3.6250,10.0000,1.0373,0.1827,208
6144,4.1050,10.0000,1.1451,0.1550,200
8192,4.1779,10.0000,1.1432,0.2212,208
10240,4.2452,10.0000,1.2206,0.1683,208
12288,4.1150,10.0000,1.0942,0.2050,200
14336,4.2067,10.0000,1.1460,0.1875,208
16384,4.6950,10.0000,1.1464,0.1900,200
18432,4.2356,10.0000,1.2308,0.2500,208
20480,4.3702,10.0000,1.1344,0.1971,208
22528,4.2600,10.0000,1.0627,0.1750,200
24576,4.6587,10.0000,1.1831,0.1683,208
26624,4.2400,10.0000,1.1901,0.2050,200
28672,4.3990,10.0000,1.2504,0.1923,208
30720,4.6346,10.0000,0.9507,0.1875,208
32768,4.4450,10.0000,1.1132,0.2000,200
34816,4.5913,10.0000,1.0087,0.1923,208
36864,4.7550,10.0000,1.1223,0.1800,200
38912,4.6971,10.0000,1.0907,0.1635,208
40960,4.6010,10.0000,1.1905,0.2212,208
43008,4.3850,10.0000,1.1997,0.1850,200
45056,4.5529,10.0000,1.2025,0.1683,208
47104,4.6300,10.0000,1.1509,0.1950,200
49152,4.6442,10.0000,1.2473,0.2115,208
51200,4.6683,10.0000,1.0464,0.1779,208
53248,4.5450,10.0000,1.1104,0.1650,200
55296,4.7356,10.0000,1.1041,0.1779,208
57344,4.8500,10.0000,1.0788,0.1700,200
59392,4.6442,10.0000,1.0479,0.1923,208
61440,4.6490,10.0000,1.0650,0.1923,208
63488,4.7200,10.0000,1.0952,0.2050,200
65536,4.7500,10.0000,1.1656,0.1779,208
67584,4.7800,10.0000,1.1105,0.1600,200
69632,4.6635,10.0000,1.0904,0.1683,208
71680,4.6683,10.0000,1.1694,0.2163,208
73728,4.8100,10.0000,1.1185,0.1950,200
75776,4.6827,10.0000,1.1227,0.1779,208
77824,4.8600,10.0000,1.1204,0.1900,200
79872,4.7260,10.0000,0.9112,0.2019,208
81920,4.5865,10.0000,1.1128,0.2067,208
83968,4.9750,10.0000,0.9527,0.1950,200
86016,4.8798,10.0000,0.9087,0.2019,208
88064,4.8950,10.0000,1.0684,0.1950,200
90112,4.8077,10.0000,1.0967,0.1779,208
92160,4.8846,10.0000,1.1002,0.1875,208
94208,4.5300,10.0000,1.0103,0.1800,200
96256,4.7212,10.0000,1.1858,0.1923,208
98304,4.7700,10.0000,0.9568,0.1650,200
100352,4.7404,10.0000,0.9801,0.1538,208
102400,4.6058,10.0000,1.1260,0.1875,208
104448,4.7600,10.0000,1.0324,0.1700,200
106496,4.7788,10.0000,1.0051,0.1827,208
108544,4.7800,10.0000,1.0756,0.1850,200
110592,4.7740,10.0000,1.0046,0.1683,208
112640,4.8077,10.0000,1.0828,0.1779,208
114688,4.8800,10.0000,0.9432,0.1850,200
116736,4.7885,10.0000,0.9527,0.1683,208
118784,4.9600,10.0000,1.0192,0.1700,200
120832,5.0192,10.0000,0.9452,0.1779,208
122880,4.8077,10.0000,1.1623,0.1827,208
124928,4.7650,10.0000,1.0185,0.1500,200
126976,4.7981,10.0000,0.9698,0.1875,208
129024,4.9500,10.0000,1.0926,0.1850,200
131072,4.8798,10.0000,0.9549,0.1971,208
133120,4.8029,10.0000,1.1199,0.1971,208
135168,4.6250,10.0000,0.9762,0.1750,200
137216,4.8990,10.0000,0.9888,0.1971,208
139264,4.8800,10.0000,0.9119,0.1600,200
141312,4.8413,10.0000,1.0802,0.2115,208
143360,4.9375,10.0000,0.9928,0.1923,208
145408,4.9250,10.0000,1.0417,0.1850,200
147456,5.0048,10.0000,1.0069,0.1971,208
149504,4.8700,10.0000,1.0414,0.2100,200
150000,4.3036,10.0000,1.0969,0.1786,56
