timesteps,ep_env_score_mean,ep_rm_score_mean,ep_cushion_mean,ep_foul_rate,queries_used_so_far,rm_train_loss,relabel_delta_mean,relabel_delta_std
312,0.01,-0.003325915518216789,1.57,0.15,0,nan,0.0,0.0
624,0.0,-0.0025294510554522277,1.94,0.15,0,nan,0.0,0.0
936,0.01,-0.0028008349519222974,1.91,0.15,0,nan,0.0,0.0
1248,0.0,-0.001376636615023017,1.49,0.2,0,nan,0.0,0.0
1560,0.0,-0.002540535689331591,1.55,0.14,0,nan,0.0,0.0
1872,0.0,-0.001774040451273322,1.31,0.22,0,nan,0.0,0.0
2184,0.0,-0.0036578519688919187,2.01,0.15,0,nan,0.0,0.0
2496,0.0,-0.002069100574590266,1.79,0.18,0,nan,0.0,0.0
2808,0.01,-0.003319244678132236,1.54,0.14,0,nan,0.0,0.0
3120,0.0,-0.003896810719743371,1.62,0.16,0,nan,0.0,0.0
3432,0.0,-0.0029612448951229454,1.54,0.15,0,nan,0.0,0.0
3744,0.0,-0.003167513720691204,1.73,0.14,0,nan,0.0,0.0
4056,0.0,-0.0024596666172146796,1.7,0.18,0,nan,0.0,0.0
4368,0.01,-0.003978693927638233,1.79,0.11,0,nan,0.0,0.0
4680,0.0,-0.0034174163173884154,1.81,0.14,0,nan,0.0,0.0
4992,0.0,-0.0030737060168758035,2.1,0.21,0,nan,0.0,0.0
5304,0.01,-0.10316221881657839,1.86,0.13,50,0.688683420419693,0.03207436203956604,0.0212428979575634
5616,0.0,-0.10081937277689576,1.74,0.18,50,0.688683420419693,0.03207436203956604,0.0212428979575634
5928,0.01,-0.10084535002708435,1.93,0.08,50,0.688683420419693,0.03207436203956604,0.0212428979575634
6240,0.0,-0.10957640076754614,1.83,0.15,50,0.688683420419693,0.03207436203956604,0.0212428979575634
6552,0.01,-0.10408788457280024,2.12,0.14,50,0.688683420419693,0.03207436203956604,0.0212428979575634
6864,0.02,-0.10110876871505753,1.77,0.13,50,0.688683420419693,0.03207436203956604,0.0212428979575634
7176,0.01,-0.10329081332311034,1.72,0.11,50,0.688683420419693,0.03207436203956604,0.0212428979575634
7488,0.0,-0.09669229653663933,1.62,0.14,50,0.688683420419693,0.03207436203956604,0.0212428979575634
7800,0.01,-0.0913007693644613,1.76,0.07,50,0.688683420419693,0.03207436203956604,0.0212428979575634
8112,0.0,-0.09738790708826855,1.57,0.21,50,0.688683420419693,0.03207436203956604,0.0212428979575634
8424,0.01,-0.07856398709118366,1.81,0.11,50,0.688683420419693,0.03207436203956604,0.0212428979575634
8736,0.01,-0.08554445479996503,2.1,0.12,50,0.688683420419693,0.03207436203956604,0.0212428979575634
9048,0.0,-0.07792856449028478,1.91,0.17,50,0.688683420419693,0.03207436203956604,0.0212428979575634
9360,0.0,-0.0854002891946584,1.94,0.1,50,0.688683420419693,0.03207436203956604,0.0212428979575634
9672,0.0,-0.09097926072543487,1.91,0.16,50,0.688683420419693,0.03207436203956604,0.0212428979575634
9984,0.02,-0.07703961065039039,1.88,0.06,50,0.688683420419693,0.03207436203956604,0.0212428979575634
10296,0.01,-0.0812607847712934,1.93,0.1,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
10608,0.01,-0.07778799419756979,2.11,0.11,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
10920,0.01,-0.07494901738129556,1.99,0.12,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
11232,0.01,-0.07723070728592575,2.06,0.15,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
11544,0.02,-0.0727073898119852,2.29,0.12,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
11856,0.0,-0.06589330903254449,1.81,0.06,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
12168,0.01,-0.07080924557056278,1.83,0.11,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
12480,0.02,-0.0578500860510394,1.76,0.1,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
12792,0.0,-0.046755907700862735,2.04,0.05,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
13104,0.01,-0.053105696248821915,1.78,0.05,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
13416,0.03,-0.033925071265548466,1.87,0.06,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
13728,0.01,-0.03593204978154972,2.41,0.03,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
14040,0.0,-0.03204215005040169,2.31,0.01,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
14352,0.0,-0.028008415687363595,2.28,0.05,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
