timesteps,ep_env_score_mean,ep_rm_score_mean,ep_cushion_mean,ep_foul_rate,queries_used_so_far,rm_train_loss,relabel_delta_mean,relabel_delta_std
312,0.01,0.0056607450521551075,1.89,0.15,0,nan,0.0,0.0
624,0.0,0.0052507412969134745,1.96,0.14,0,nan,0.0,0.0
936,0.02,0.005368380493018776,1.6,0.13,0,nan,0.0,0.0
1248,0.0,0.005674177512992174,1.73,0.09,0,nan,0.0,0.0
1560,0.0,0.004873921354301274,1.58,0.15,0,nan,0.0,0.0
1872,0.0,0.007111065248027444,1.78,0.24,0,nan,0.0,0.0
2184,0.0,0.0059287902270443735,1.6,0.14,0,nan,0.0,0.0
2496,0.01,0.005062508070841432,1.84,0.1,0,nan,0.0,0.0
2808,0.0,0.005684441979974508,1.87,0.19,0,nan,0.0,0.0
3120,0.01,0.00628388263983652,2.05,0.15,0,nan,0.0,0.0
3432,0.0,0.005822413226123899,1.71,0.13,0,nan,0.0,0.0
3744,0.0,0.0049566532915923745,2.02,0.18,0,nan,0.0,0.0
4056,0.01,0.004286995194852352,1.8,0.12,0,nan,0.0,0.0
4368,0.02,0.006795142134651541,1.82,0.15,0,nan,0.0,0.0
4680,0.0,0.005802584334742278,1.84,0.16,0,nan,0.0,0.0
4992,0.0,0.005436783398035914,1.66,0.15,0,nan,0.0,0.0
5304,0.01,-0.04203497186652385,2.18,0.17,50,0.672866553068161,0.041572462767362595,0.02997560426592827
5616,0.0,-0.045729332177434114,2.08,0.17,50,0.672866553068161,0.041572462767362595,0.02997560426592827
5928,0.03,-0.04393039509188384,2.12,0.19,50,0.672866553068161,0.041572462767362595,0.02997560426592827
6240,0.01,-0.04978206727188081,2.13,0.11,50,0.672866553068161,0.041572462767362595,0.02997560426592827
6552,0.01,-0.044051356131676586,2.06,0.1,50,0.672866553068161,0.041572462767362595,0.02997560426592827
6864,0.01,-0.049717937337700274,1.91,0.19,50,0.672866553068161,0.041572462767362595,0.02997560426592827
7176,0.01,-0.04092445094138384,2.15,0.21,50,0.672866553068161,0.041572462767362595,0.02997560426592827
7488,0.03,-0.03849387379363179,2.62,0.2,50,0.672866553068161,0.041572462767362595,0.02997560426592827
7800,0.0,-0.037002525604330004,2.09,0.14,50,0.672866553068161,0.041572462767362595,0.02997560426592827
8112,0.0,-0.03343537212349475,2.59,0.18,50,0.672866553068161,0.041572462767362595,0.02997560426592827
8424,0.0,-0.041604822466615586,2.15,0.17,50,0.672866553068161,0.041572462767362595,0.02997560426592827
8736,0.03,-0.032719519711099564,2.25,0.15,50,0.672866553068161,0.041572462767362595,0.02997560426592827
9048,0.01,-0.0339357759966515,2.36,0.12,50,0.672866553068161,0.041572462767362595,0.02997560426592827
9360,0.0,-0.03375302465283312,2.78,0.16,50,0.672866553068161,0.041572462767362595,0.02997560426592827
9672,0.01,-0.02766789957648143,2.16,0.18,50,0.672866553068161,0.041572462767362595,0.02997560426592827
9984,0.01,-0.034007043743040415,2.61,0.19,50,0.672866553068161,0.041572462767362595,0.02997560426592827
10296,0.01,-0.01602273203898221,3.21,0.2,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
10608,0.0,-0.0156458686478436,2.94,0.2,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
10920,0.01,-0.015792069393210113,3.29,0.14,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
11232,0.01,-0.015823448104783894,3.09,0.13,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
11544,0.01,-0.01283202204387635,2.88,0.13,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
11856,0.01,-0.015256075679790228,2.97,0.14,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
12168,0.02,-0.004901576311094686,3.27,0.13,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
12480,0.01,-0.0011396257509477437,3.94,0.13,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
12792,0.01,0.0038859937456436457,3.22,0.16,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
13104,0.01,0.00794921648921445,3.59,0.1,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
13416,0.02,0.0016468760347925126,3.61,0.17,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
13728,0.02,0.013984546517021954,3.58,0.21,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
14040,0.01,0.016747673727222717,3.58,0.1,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
14352,0.03,0.01800619291840121,3.89,0.14,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
14664,0.02,0.024510824182070793,3.7,0.06,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
14976,0.05,0.023557088631205262,4.22,0.1,100,0.6746644377708435,0.022525856271386147,0.024943476542830467
15288,0.0,0.018322519541252403,4.45,0.11,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
