timesteps,ep_env_score_mean,ep_rm_score_mean,ep_cushion_mean,ep_foul_rate,queries_used_so_far,rm_train_loss,relabel_delta_mean,relabel_delta_std
312,0.01,nan,1.89,0.15,0,nan,0.0,0.0
624,0.0,nan,1.94,0.12,0,nan,0.0,0.0
936,0.02,nan,1.65,0.15,0,nan,0.0,0.0
1248,0.0,nan,1.72,0.09,0,nan,0.0,0.0
1560,0.0,nan,1.67,0.11,0,nan,0.0,0.0
1872,0.0,nan,1.77,0.22,0,nan,0.0,0.0
2184,0.0,nan,1.61,0.12,0,nan,0.0,0.0
2496,0.01,nan,1.85,0.1,0,nan,0.0,0.0
2808,0.02,nan,2.0,0.19,0,nan,0.0,0.0
3120,0.0,nan,2.07,0.17,0,nan,0.0,0.0
3432,0.0,nan,1.75,0.15,0,nan,0.0,0.0
3744,0.0,nan,2.13,0.14,0,nan,0.0,0.0
4056,0.01,nan,1.68,0.17,0,nan,0.0,0.0
4368,0.0,nan,1.91,0.15,0,nan,0.0,0.0
4680,0.0,nan,1.75,0.21,0,nan,0.0,0.0
4992,0.0,nan,1.69,0.14,0,nan,0.0,0.0
5304,0.0,nan,1.81,0.16,0,nan,0.0,0.0
5616,0.01,nan,1.95,0.17,0,nan,0.0,0.0
5928,0.02,nan,1.81,0.11,0,nan,0.0,0.0
6240,0.0,nan,1.83,0.19,0,nan,0.0,0.0
6552,0.01,nan,1.83,0.13,0,nan,0.0,0.0
6864,0.01,nan,1.91,0.2,0,nan,0.0,0.0
7176,0.01,nan,1.87,0.19,0,nan,0.0,0.0
7488,0.0,nan,1.46,0.19,0,nan,0.0,0.0
7800,0.0,nan,1.86,0.16,0,nan,0.0,0.0
8112,0.01,nan,2.07,0.17,0,nan,0.0,0.0
8424,0.0,nan,1.83,0.17,0,nan,0.0,0.0
8736,0.01,nan,2.44,0.18,0,nan,0.0,0.0
9048,0.01,nan,1.73,0.12,0,nan,0.0,0.0
9360,0.0,nan,1.52,0.14,0,nan,0.0,0.0
9672,0.01,nan,2.02,0.22,0,nan,0.0,0.0
9984,0.01,nan,1.56,0.16,0,nan,0.0,0.0
10296,0.01,nan,1.92,0.21,0,nan,0.0,0.0
10608,0.01,nan,2.18,0.17,0,nan,0.0,0.0
10920,0.0,nan,2.1,0.15,0,nan,0.0,0.0
11232,0.02,nan,1.94,0.17,0,nan,0.0,0.0
11544,0.01,nan,1.88,0.14,0,nan,0.0,0.0
11856,0.0,nan,1.96,0.11,0,nan,0.0,0.0
12168,0.01,nan,2.34,0.12,0,nan,0.0,0.0
12480,0.0,nan,1.58,0.14,0,nan,0.0,0.0
12792,0.0,nan,2.29,0.15,0,nan,0.0,0.0
13104,0.01,nan,1.76,0.14,0,nan,0.0,0.0
13416,0.0,nan,2.2,0.19,0,nan,0.0,0.0
13728,0.02,nan,2.2,0.17,0,nan,0.0,0.0
14040,0.01,nan,2.19,0.21,0,nan,0.0,0.0
14352,0.01,nan,2.34,0.18,0,nan,0.0,0.0
14664,0.0,nan,2.29,0.15,0,nan,0.0,0.0
14976,0.01,nan,2.58,0.17,0,nan,0.0,0.0
15288,0.01,nan,2.77,0.18,0,nan,0.0,0.0
15600,0.0,nan,2.31,0.19,0,nan,0.0,0.0
15912,0.01,nan,2.61,0.26,0,nan,0.0,0.0
16224,0.01,nan,2.7,0.24,0,nan,0.0,0.0
16536,0.03,nan,3.16,0.15,0,nan,0.0,0.0
16848,0.02,nan,2.89,0.21,0,nan,0.0,0.0
17160,0.02,nan,3.5,0.24,0,nan,0.0,0.0
17472,0.0,nan,4.03,0.18,0,nan,0.0,0.0
17784,0.03,nan,3.83,0.17,0,nan,0.0,0.0
18096,0.04,nan,4.5,0.08,0,nan,0.0,0.0
18408,0.09,nan,5.04,0.11,0,nan,0.0,0.0
18720,0.02,nan,5.13,0.04,0,nan,0.0,0.0
19032,0.01,nan,5.51,0.11,0,nan,0.0,0.0
19344,0.05,nan,5.04,0.1,0,nan,0.0,0.0
19656,0.08,nan,5.48,0.14,0,nan,0.0,0.0
19968,0.1,nan,5.34,0.09,0,nan,0.0,0.0
20280,0.07,nan,5.17,0.09,0,nan,0.0,0.0
20592,0.05,nan,5.64,0.06,0,nan,0.0,0.0
20904,0.11,nan,5.44,0.06,0,nan,0.0,0.0
21216,0.1,nan,5.48,0.11,0,nan,0.0,0.0
21528,0.14,nan,5.37,0.07,0,nan,0.0,0.0
21840,0.05,nan,5.33,0.11,0,nan,0.0,0.0
22152,0.04,nan,5.13,0.06,0,nan,0.0,0.0
22464,0.06,nan,5.47,0.08,0,nan,0.0,0.0
22776,0.07,nan,5.35,0.07,0,nan,0.0,0.0
23088,0.04,nan,5.02,0.08,0,nan,0.0,0.0
23400,0.04,nan,5.43,0.09,0,nan,0.0,0.0
23712,0.11,nan,5.01,0.08,0,nan,0.0,0.0
24024,0.02,nan,5.4,0.12,0,nan,0.0,0.0
24336,0.07,nan,5.31,0.04,0,nan,0.0,0.0
24648,0.09,nan,4.85,0.07,0,nan,0.0,0.0
24960,0.06,nan,5.23,0.1,0,nan,0.0,0.0
25272,0.04,nan,5.29,0.17,0,nan,0.0,0.0
25584,0.06,nan,5.44,0.09,0,nan,0.0,0.0
25896,0.08,nan,5.38,0.08,0,nan,0.0,0.0
26208,0.02,nan,5.12,0.07,0,nan,0.0,0.0
26520,0.08,nan,4.93,0.1,0,nan,0.0,0.0
26832,0.11,nan,5.16,0.04,0,nan,0.0,0.0
27144,0.01,nan,5.27,0.11,0,nan,0.0,0.0
27456,0.07,nan,5.33,0.08,0,nan,0.0,0.0
27768,0.04,nan,5.1,0.07,0,nan,0.0,0.0
28080,0.09,nan,4.91,0.13,0,nan,0.0,0.0
28392,0.07,nan,5.35,0.05,0,nan,0.0,0.0
28704,0.06,nan,5.01,0.06,0,nan,0.0,0.0
