timesteps,ep_env_score_mean,ep_rm_score_mean,ep_cushion_mean,ep_foul_rate,queries_used_so_far,rm_train_loss,relabel_delta_mean,relabel_delta_std
312,0.0,-0.031062971577048303,1.93,0.19,0,nan,0.0,0.0
624,0.01,-0.031103695444762706,1.84,0.13,0,nan,0.0,0.0
936,0.0,-0.03110635181888938,1.93,0.18,0,nan,0.0,0.0
1248,0.0,-0.03088674884289503,2.03,0.16,0,nan,0.0,0.0
1560,0.02,-0.030977315548807383,1.72,0.07,0,nan,0.0,0.0
1872,0.01,-0.030760977864265442,1.92,0.2,0,nan,0.0,0.0
2184,0.0,-0.030904189925640823,1.96,0.16,0,nan,0.0,0.0
2496,0.02,-0.030904115922749043,1.61,0.17,0,nan,0.0,0.0
2808,0.0,-0.03072082819417119,2.04,0.14,0,nan,0.0,0.0
3120,0.0,-0.031338023208081725,2.12,0.2,0,nan,0.0,0.0
3432,0.01,-0.03081013511866331,1.67,0.17,0,nan,0.0,0.0
3744,0.01,-0.030934207756072283,1.9,0.17,0,nan,0.0,0.0
4056,0.01,-0.03092168102040887,1.87,0.15,0,nan,0.0,0.0
4368,0.0,-0.03104985086247325,2.16,0.09,0,nan,0.0,0.0
4680,0.01,-0.030433729980140923,1.73,0.1,0,nan,0.0,0.0
4992,0.0,-0.030473296754062174,1.59,0.16,0,nan,0.0,0.0
5304,0.01,0.05343941373052075,1.9,0.15,50,0.6844946444034576,0.0,0.0
5616,0.0,0.04745472514070571,1.78,0.18,50,0.6844946444034576,0.0,0.0
5928,0.02,0.04718134904978797,2.08,0.16,50,0.6844946444034576,0.0,0.0
6240,0.0,0.04979568440932781,1.65,0.23,50,0.6844946444034576,0.0,0.0
6552,0.0,0.04885012262035161,1.66,0.11,50,0.6844946444034576,0.0,0.0
6864,0.0,0.0507681769807823,2.07,0.18,50,0.6844946444034576,0.0,0.0
7176,0.0,0.050254829335026445,1.83,0.17,50,0.6844946444034576,0.0,0.0
7488,0.01,0.05241928935050964,1.83,0.19,50,0.6844946444034576,0.0,0.0
7800,0.0,0.05416692616883665,1.68,0.18,50,0.6844946444034576,0.0,0.0
8112,0.0,0.05027643661480397,2.0,0.13,50,0.6844946444034576,0.0,0.0
8424,0.02,0.055228222417645155,2.02,0.14,50,0.6844946444034576,0.0,0.0
8736,0.02,0.052049507023766636,1.92,0.18,50,0.6844946444034576,0.0,0.0
9048,0.0,0.05046229368075728,1.85,0.21,50,0.6844946444034576,0.0,0.0
9360,0.0,0.05368852462619543,1.76,0.21,50,0.6844946444034576,0.0,0.0
9672,0.01,0.05473201468586922,1.86,0.18,50,0.6844946444034576,0.0,0.0
9984,0.01,0.055609830697067084,1.82,0.15,50,0.6844946444034576,0.0,0.0
10296,0.01,0.04665062597487122,1.93,0.22,100,0.6852630376815796,0.0,0.0
10608,0.0,0.041217231499031184,2.05,0.15,100,0.6852630376815796,0.0,0.0
10920,0.01,0.04635901301167905,2.24,0.17,100,0.6852630376815796,0.0,0.0
11232,0.0,0.045135315218940375,2.13,0.22,100,0.6852630376815796,0.0,0.0
11544,0.01,0.04813365909270942,2.07,0.14,100,0.6852630376815796,0.0,0.0
11856,0.02,0.04767513046972453,2.19,0.21,100,0.6852630376815796,0.0,0.0
12168,0.0,0.04847206585109234,2.31,0.13,100,0.6852630376815796,0.0,0.0
12480,0.02,0.04872133281081915,2.21,0.23,100,0.6852630376815796,0.0,0.0
12792,0.01,0.050905511192977426,2.25,0.2,100,0.6852630376815796,0.0,0.0
13104,0.01,0.05186192825436592,2.3,0.14,100,0.6852630376815796,0.0,0.0
13416,0.02,0.05448162257671356,2.79,0.14,100,0.6852630376815796,0.0,0.0
13728,0.0,0.05608394801616669,2.54,0.28,100,0.6852630376815796,0.0,0.0
14040,0.03,0.05576022058725357,2.63,0.21,100,0.6852630376815796,0.0,0.0
14352,0.0,0.056584450462833044,2.54,0.24,100,0.6852630376815796,0.0,0.0
14664,0.0,0.061354333646595476,2.76,0.27,100,0.6852630376815796,0.0,0.0
14976,0.0,0.06297607257962227,2.78,0.22,100,0.6852630376815796,0.0,0.0
15288,0.03,0.0180383928027004,2.9,0.26,150,0.6835913360118866,0.0,0.0
15600,0.01,0.014755514562129974,3.05,0.25,150,0.6835913360118866,0.0,0.0
15912,0.01,0.030308752991259097,3.29,0.27,150,0.6835913360118866,0.0,0.0
16224,0.02,0.030410174103453754,3.27,0.22,150,0.6835913360118866,0.0,0.0
16536,0.03,0.040593816693872214,3.24,0.18,150,0.6835913360118866,0.0,0.0
16848,0.01,0.05669494980946183,3.19,0.14,150,0.6835913360118866,0.0,0.0
